# Z1 Z2 a b c d rms_err(%) max_err(%)
 1 91  0.09591 -1.90039  9.98607 -1.01709  3.60  6.29
 1 92  0.10352 -1.89483  9.99079 -1.01643  3.78  6.68
 2  2  0.15800 -1.92377  8.17946 -0.94678  3.09  5.74
 2  3  1.18619 -1.61281  6.24937 -0.83119  1.49  4.39
 2  4  0.03580 -1.96143  6.52157 -1.19217  2.91  5.87
 2  5  0.93547 -1.64774  6.55059 -0.99667  6.08 14.01
 2  6  1.19257 -1.66426  6.24473 -0.99087  0.92  2.49
 2  7  0.45459 -1.82772  7.68264 -1.13249  2.87  5.43
 2  8  0.38202 -1.91280  7.97429 -1.09388  2.89  4.64
 2  9  0.22917 -1.83143  8.32291 -1.15128  2.85  4.74
 2 10  0.10127 -1.91532  9.10551 -1.05447  1.36  2.64
 2 11  0.38002 -1.73633  8.84980 -0.97016  1.94  3.50
 2 12  0.90396 -1.60075  8.06732 -0.87783  2.48  6.42
 2 13  0.58519 -1.68539  8.34707 -0.90431  1.44  2.45
 2 14  0.62333 -1.69574  8.09513 -0.89417  1.99  3.50
 2 15  0.82906 -1.66883  7.54424 -0.87053  1.40  2.69
 2 16  1.13706 -1.63367  6.92370 -0.84210  1.38  3.03
 2 17  0.54434 -1.68104  8.08926 -0.95762  4.50  9.02
 2 18  0.10707 -1.84934  8.40026 -1.04335  3.39  6.47
 2 19  0.32710 -1.71818  8.30382 -0.97833  1.70  3.24
 2 20  1.13583 -1.55279  7.41864 -0.85517  2.75  7.02
 2 21  0.78521 -1.63327  7.86602 -0.89223  2.09  5.30
 2 22  0.60212 -1.68383  8.10013 -0.93281  0.88  1.48
 2 23  0.58226 -1.70241  8.16097 -0.93881  1.36  2.30
 2 24  0.50875 -1.72797  8.27835 -0.96575  2.09  4.08
 2 25  0.53557 -1.73186  8.26504 -0.96594  2.21  4.15
 2 26  0.55107 -1.73854  8.34170 -0.96080  2.75  5.25
 2 27  0.43604 -1.77065  8.52761 -0.99870  3.25  6.33
 2 28  0.39586 -1.78258  8.64547 -1.01641  3.30  6.33
 2 29  0.42673 -1.74857  8.49775 -1.02744  1.70  3.31
 2 30  0.78384 -1.62848  8.15722 -0.99452  1.50  4.18
 2 31  0.51236 -1.69348  8.77851 -0.99850  1.19  2.23
 2 32  0.55769 -1.69115  8.78410 -0.97360  0.81  1.66
 2 33  0.82887 -1.64595  8.60053 -0.90899  2.03  4.59
 2 34  1.34687 -1.58286  7.91898 -0.82268  3.56  8.37
 2 35  0.53388 -1.66234  8.74708 -0.98447  1.96  4.00
 2 36  0.14577 -1.78800  9.16168 -1.04533  2.93  5.15
 2 37  0.29776 -1.71075  9.15264 -0.99511  1.53  2.55
 2 38  1.00690 -1.55493  8.41872 -0.88286  4.17 10.76
 2 39  0.39556 -1.70117  9.06209 -0.95493  0.77  1.50
 2 40  0.38306 -1.72096  9.09823 -0.94453  1.79  3.08
 2 41  0.33518 -1.74809  9.14176 -0.95199  2.65  4.89
 2 42  0.17504 -1.83895  9.19700 -1.00494  3.22  5.43
 2 43  0.18746 -1.83768  9.05417 -1.00724  2.84  5.36
 2 44  0.17120 -1.85560  9.21262 -1.00573  3.54  6.11
 2 45  0.18363 -1.84626  9.19687 -1.00531  3.79  6.50
 2 46  0.21505 -1.82188  9.18407 -0.99735  3.69  6.41
 2 47  0.50690 -1.68808  8.95301 -0.93278  1.37  2.07
 2 48  0.62908 -1.63925  8.81508 -0.91849  1.19  1.80
 2 49  0.42684 -1.69210  9.03736 -0.94831  1.64  2.59
 2 50  0.45254 -1.68924  9.00903 -0.93212  0.81  1.46
 2 51  0.65037 -1.64536  8.75793 -0.88084  2.27  4.28
 2 52  0.96783 -1.59265  8.35363 -0.82032  3.71  8.13
 2 53  0.61826 -1.62393  8.47221 -0.92273  2.05  3.51
 2 54  0.27506 -1.70073  8.98440 -0.97907  4.28  7.24
 2 55  0.37585 -1.67118  8.95974 -0.96231  2.72  4.58
 2 56  0.38483 -1.68014  8.97810 -0.95704  2.07  3.83
 2 57  0.19271 -1.76919  9.00512 -0.97485  3.70  6.41
 2 58  0.62253 -1.61648  8.75436 -0.94665  2.71  4.61
 2 59  0.62241 -1.61873  8.76979 -0.95459  2.95  5.05
 2 60  0.62895 -1.61895  8.78163 -0.96076  3.24  5.39
 2 61  0.63431 -1.61990  8.79656 -0.96552  3.39  5.62
 2 62  0.64394 -1.61978  8.80989 -0.96927  3.48  5.78
 2 63  0.64938 -1.62040  8.83039 -0.97330  3.55  5.91
 2 64  0.93628 -1.58765  8.58542 -0.92198  1.93  3.23
 2 65  0.65160 -1.62268  8.89373 -0.98112  3.58  6.04
 2 66  0.64510 -1.62492  8.93398 -0.98557  3.56  6.08
 2 67  0.63423 -1.62797  8.98385 -0.98913  3.50  6.06
 2 68  0.60763 -1.63393  9.05764 -0.99293  3.37  5.96
 2 69  0.57514 -1.64027  9.13476 -0.99481  3.24  5.85
 2 70  0.65164 -1.62166  9.12697 -0.97669  2.45  4.81
 2 71  0.49546 -1.67183  9.17585 -0.98635  1.79  3.32
 2 72  0.41507 -1.70666  9.35527 -0.98816  1.51  2.82
 2 73  0.36736 -1.72716  9.43909 -0.99180  1.76  3.35
 2 74  0.19071 -1.81127  9.60269 -1.03561  3.79  6.43
 2 75  0.19171 -1.81640  9.63342 -1.03122  3.63  6.07
 2 76  0.17812 -1.82823  9.65473 -1.03275  3.68  5.91
 2 77  0.20173 -1.81181  9.65539 -1.02543  3.52  5.60
 2 78  0.23903 -1.78479  9.63777 -1.01564  3.36  5.43
 2 79  0.47401 -1.67937  9.45885 -0.97071  1.71  3.27
 2 80  0.51091 -1.65359  9.45014 -0.96901  1.67  3.46
