# Z1 Z2 a b c d rms_err(%) max_err(%)
 2  3  1.11841  0.25507  0.35068  0.01978  1.40  4.50
 2  4  1.44838  0.00078 -0.24071  0.52665  4.54  8.47
 2  5  1.86089  0.00573 -0.05728  0.96160  4.06  7.58
 2  6  1.66464  0.16674  0.23496  0.65673  2.14  4.10
 2  7  1.67103  0.05812  0.04271  0.96068  2.71  5.93
 2  8  1.41087  0.07433  0.00484  0.70369  1.48  2.95
 2  9  1.39565  0.00582 -0.08892  0.78317  2.45  5.07
 2 10  0.88230  0.00613 -0.06026  0.24069  3.55  6.30
 2 11  0.91439  0.01748  0.10612  0.23001  2.22  4.81
 2 12  0.96752  0.02900  0.22174  0.23534  3.16  6.95
 2 13  0.89682  0.06156  0.23931  0.12400  1.89  3.76
 2 14  0.93532  0.06985  0.22878  0.13812  1.37  3.38
 2 15  0.96072  0.13046  0.28396  0.08490  0.94  2.41
 2 16  0.99110  0.24030  0.33874 -0.00344  0.89  2.17
 2 17  1.12363  0.00586  0.00931  0.38180  1.73  3.59
 2 18  0.94739  0.00316 -0.06273  0.22061  1.70  2.80
 2 19  0.96080  0.01116  0.09827  0.21658  1.53  2.58
 2 20  0.90079  0.41516  0.44653 -0.24728  2.12  3.92
 2 21  0.85538  0.25137  0.38618 -0.12043  2.30  3.41
 2 22  0.92451  0.07851  0.26611  0.13299  1.70  2.72
 2 23  0.95074  0.06272  0.22478  0.18302  1.40  2.80
 2 24  1.02572  0.02853  0.12219  0.30477  1.10  2.42
 2 25  1.05216  0.03170  0.11996  0.33186  1.33  2.94
 2 26  1.05605  0.03186  0.10700  0.34853  1.21  2.42
 2 27  1.07903  0.02022  0.04741  0.40432  1.14  2.05
 2 28  1.07677  0.01691  0.02714  0.42354  1.08  2.14
 2 29  1.08496  0.01538  0.05707  0.42271  1.98  3.94
 2 30  1.11220  0.00415  0.03019  0.46195  2.27  4.08
 2 31  0.93394  0.01752  0.13908  0.29706  1.85  3.26
 2 32  0.89903  0.03798  0.20724  0.22927  2.67  4.74
 2 33  0.81924  0.14254  0.33436  0.03693  2.62  4.73
 2 34  0.73857  2.49186  0.48086 -2.40931  2.70  4.96
 2 35  0.95678  0.00512  0.04996  0.31019  2.34  4.82
 2 36  0.85521  0.00149 -0.07912  0.21828  2.40  4.21
 2 37  0.84293  0.00627  0.08077  0.19448  2.12  3.51
 2 38  0.94127  0.09252  0.40137  0.15247  3.98  7.85
 2 39  0.82038  0.03011  0.21115  0.13299  2.21  3.97
 2 40  0.84396  0.02292  0.15530  0.15717  2.44  5.17
 2 41  0.86869  0.01550  0.09361  0.18913  2.38  4.93
 2 42  0.87840  0.00845 -0.00190  0.21427  1.92  4.04
 2 43  0.90461  0.00931 -0.00154  0.23218  2.39  5.06
 2 44  0.88592  0.00920 -0.01189  0.22327  1.83  3.91
 2 45  0.89782  0.00879 -0.01478  0.23640  1.81  3.89
 2 46  0.90001  0.00932  0.00217  0.23818  1.75  3.64
 2 47  0.84080  0.03919  0.22019  0.14404  1.83  3.37
 2 48  0.84006  0.04253  0.26432  0.13724  1.79  3.24
 2 49  0.84496  0.02171  0.17870  0.16429  1.66  2.91
 2 50  0.81234  0.04320  0.24144  0.10340  1.92  3.47
 2 51  0.74703  0.24058  0.38950 -0.17837  2.77  5.03
 2 52  0.74490  0.58785  0.44206 -0.54043  3.58  8.15
 2 53  0.86890  0.04012  0.27364  0.13286  3.04  5.55
 2 54  0.88573  0.00189 -0.02663  0.19625  2.06  4.41
 2 55  0.86793  0.00588  0.09405  0.18678  1.49  2.72
 2 56  0.85020  0.01337  0.16173  0.16540  1.50  2.76
 2 57  0.87392  0.00521  0.02103  0.16568  2.11  4.39
 2 58  0.89291  0.00784  0.15241  0.22948  1.37  2.58
 2 59  0.90143  0.00564  0.11897  0.24784  1.26  2.33
 2 60  0.91262  0.00344  0.06912  0.26804  1.18  2.28
 2 61  0.91758  0.00276  0.04560  0.28018  1.13  2.12
 2 62  0.92073  0.00237  0.02992  0.29020  1.10  1.97
 2 63  0.92261  0.00208  0.01599  0.29897  1.08  1.81
 2 64  0.87270  0.05827  0.33583  0.19030  1.74  3.36
 2 65  0.91995  0.00187  0.00454  0.31006  1.11  1.77
 2 66  0.91625  0.00187  0.00468  0.31290  1.15  1.81
 2 67  0.91057  0.00200  0.01007  0.31290  1.20  1.90
 2 68  0.89985  0.00240  0.02581  0.30683  1.29  2.08
 2 69  0.88779  0.00275  0.03644  0.29644  1.35  2.16
 2 70  0.85970  0.00727  0.15023  0.26160  1.73  2.80
 2 71  0.84343  0.01878  0.19432  0.22111  1.98  2.92
 2 72  0.83993  0.01326  0.12399  0.22811  1.72  2.87
 2 73  0.84417  0.01002  0.07849  0.23710  1.66  2.81
 2 74  0.85607  0.00417 -0.04057  0.26235  1.49  2.76
 2 75  0.85239  0.00469 -0.03706  0.25872  1.38  2.62
 2 76  0.84981  0.00461 -0.04525  0.25663  1.36  2.59
 2 77  0.84920  0.00502 -0.03086  0.25527  1.35  2.53
 2 78  0.84850  0.00527 -0.01147  0.25207  1.36  2.54
 2 79  0.81695  0.01489  0.15896  0.20534  1.62  2.88
 2 80  0.81142  0.01153  0.16472  0.20362  1.85  3.24
 2 81  0.80731  0.00792  0.11083  0.20131  1.76  3.12
 2 82  0.77965  0.01744  0.18354  0.15515  2.17  3.44
 2 83  0.76736  0.05277  0.29222  0.09035  3.62  5.54
 2 84  0.70989  0.35310  0.43228 -0.27775  3.68  5.76
 2 85  0.76140  0.02924  0.26642  0.11611  2.18  3.62
 2 86  0.81969  0.00109 -0.04184  0.19149  2.81  5.30
 2 87  0.78934  0.00435  0.09572  0.15883  2.50  4.60
 2 88  0.75925  0.00924  0.14615  0.12488  2.15  3.83
 2 89  0.79964  0.00279 -0.00146  0.15935  2.83  5.36
 2 90  0.79973  0.00319 -0.00093  0.15588  2.85  5.51
 2 91  0.82265  0.00877  0.11724  0.19740  1.93  3.96
 2 92  0.82609  0.01012  0.13078  0.20234  1.93  3.95
 3  3  1.27622  0.00302 -0.17783  0.37986  5.57 10.16
 3  4  1.08507  0.00360 -0.13945  0.28126  5.03  8.03
 3  5  1.18979  0.00718 -0.12762  0.39930  4.43  7.02
 3  6  1.17300  0.01056 -0.11240  0.46243  3.08  5.05
 3  7  1.38605  0.01377 -0.11902  0.68955  3.53  5.41
 3  8  1.07974  0.01526 -0.09988  0.43162  4.20  7.44
 3  9  0.90816  0.01909 -0.06677  0.25039  3.96  6.83
 3 10  0.99676  0.01430  0.01561  0.30386  1.72  3.60
 3 11  1.07026  0.00178 -0.15862  0.37458  1.55  2.64
 3 12  1.01703  0.00020 -0.30812  0.31914  2.41  5.37
 3 13  1.00981  0.00172 -0.16127  0.30110  1.82  3.40
 3 14  1.02343  0.00324 -0.12819  0.30807  1.58  2.64
 3 15  1.05310  0.00447 -0.11712  0.33200  1.45  2.50
 3 16  0.99490  0.00575 -0.10227  0.27715  1.68  3.35
 3 17  0.93300  0.00645 -0.09620  0.21733  2.44  4.44
 3 18  1.01308  0.00620 -0.00322  0.25535  2.72  4.63
 3 19  1.05639  0.00054 -0.19572  0.31241  1.61  3.17
 3 20  1.07216  0.00028 -0.26093  0.33404  1.60  2.96
 3 21  1.06568  0.00406 -0.05443  0.33488  1.49  2.91
 3 22  1.07176  0.00605 -0.03745  0.35446  1.29  2.54
 3 23  1.06802  0.00891 -0.01419  0.36192  1.14  2.29
 3 24  1.06411  0.01164  0.00114  0.36626  1.17  2.45
 3 25  1.03964  0.01422  0.00809  0.35449  1.06  2.34
 3 26  1.03059  0.01350 -0.00517  0.36198  1.07  2.13
 3 27  1.04287  0.01093 -0.03004  0.39161  0.99  1.92
 3 28  1.04065  0.00894 -0.04843  0.39983  1.01  2.01
 3 29  1.01379  0.00463 -0.09853  0.38317  1.15  2.16
 3 30  1.15393  0.00015 -0.30600  0.49648  2.18  3.96
 3 31  1.00799  0.00088 -0.18911  0.38513  1.26  2.44
 3 32  1.00376  0.00122 -0.17841  0.37219  1.98  3.99
 3 33  0.98266  0.00159 -0.16550  0.35437  1.85  3.67
 3 34  0.92032  0.00218 -0.14170  0.29334  1.77  2.84
 3 35  0.87824  0.00245 -0.13627  0.24373  2.57  4.02
 3 36  0.86738  0.00374  0.00238  0.22346  1.93  3.36
 3 37  0.93318  0.00045 -0.14970  0.27772  2.21  4.13
 3 38  0.96558  0.00008 -0.30312  0.30055  2.55  5.44
 3 39  0.89801  0.00509  0.01617  0.23524  1.92  3.51
 3 40  0.89082  0.00710  0.02247  0.22652  1.79  3.40
 3 41  0.88218  0.00897  0.02584  0.21743  1.73  3.30
 3 42  0.87516  0.01004  0.02069  0.21078  1.71  3.26
 3 43  0.88188  0.00886 -0.00481  0.22036  1.68  3.34
 3 44  0.89077  0.00829 -0.01542  0.23122  1.64  3.29
 3 45  0.90006  0.00789 -0.02123  0.24175  1.60  3.24
 3 46  0.90446  0.00578 -0.04212  0.24764  1.54  3.07
 3 47  0.89930  0.00407 -0.05727  0.24289  1.48  2.87
 3 48  0.93005  0.00431  0.04249  0.26552  2.19  3.99
 3 49  0.93021  0.00194 -0.07340  0.26659  1.89  3.28
 3 50  0.92440  0.00176 -0.09933  0.25824  1.82  3.48
 3 51  0.91906  0.00188 -0.10437  0.24772  1.88  3.85
 3 52  0.90195  0.00211 -0.10169  0.22702  1.77  3.70
 3 53  0.88290  0.00203 -0.11212  0.20555  1.70  3.42
 3 54  0.87121  0.00471  0.06088  0.18502  1.88  3.87
 3 55  0.90078  0.00346  0.08489  0.22237  1.88  3.73
 3 56  0.88018  0.00404  0.03131  0.20992  1.38  2.58
 3 57  0.88054  0.00590  0.03769  0.17546  1.93  3.86
 3 58  0.97730  0.00002 -0.42156  0.31650  1.74  3.39
 3 59  0.98141  0.00004 -0.34708  0.32786  1.59  3.11
 3 60  0.98855  0.00004 -0.35474  0.34004  1.63  3.31
 3 61  0.99400  0.00004 -0.36245  0.35100  1.66  3.45
 3 62  0.99805  0.00003 -0.37567  0.36068  1.67  3.54
 3 63  1.00031  0.00003 -0.38097  0.36912  1.67  3.61
 3 64  0.96264  0.00545  0.12316  0.33230  1.84  4.84
 3 65  0.99884  0.00004 -0.36327  0.38014  1.59  3.51
 3 66  0.99688  0.00004 -0.35155  0.38390  1.59  3.55
 3 67  0.99232  0.00005 -0.33673  0.38471  1.60  3.58
 3 68  0.98422  0.00007 -0.31121  0.38145  1.55  3.46
 3 69  0.96930  0.00009 -0.28745  0.37001  1.40  3.03
 3 70  0.93372  0.00000 -1.16468  0.34019  1.13  1.75
 3 71  0.91584  0.00312 -0.00162  0.30543  1.25  2.00
 3 72  0.88609  0.00428  0.00171  0.28389  1.26  2.25
 3 73  0.87364  0.00516  0.00146  0.27136  1.33  2.39
 3 74  0.86293  0.00528 -0.01321  0.26173  1.37  2.53
 3 75  0.86285  0.00461 -0.03500  0.26367  1.36  2.57
 3 76  0.86652  0.00427 -0.04487  0.26777  1.30  2.46
 3 77  0.86746  0.00407 -0.04900  0.26908  1.29  2.43
 3 78  0.86388  0.00267 -0.07900  0.26663  1.31  2.51
 3 79  0.84784  0.00196 -0.09146  0.25063  1.45  2.77
 3 80  0.85079  0.00366  0.05447  0.24701  1.60  2.62
 3 81  0.85546  0.00134 -0.07081  0.25187  1.60  2.50
 3 82  0.84584  0.00118 -0.09703  0.23857  1.71  2.68
 3 83  0.84317  0.00104 -0.11955  0.23357  1.73  2.99
 3 84  0.83330  0.00109 -0.12261  0.21995  1.76  3.14
 3 85  0.82048  0.00099 -0.13937  0.20461  1.74  2.95
 3 86  0.81773  0.00216  0.02447  0.19229  2.46  4.66
 3 87  0.82409  0.00197  0.06584  0.19628  2.51  4.19
 3 88  0.80667  0.00261  0.01210  0.17623  2.38  4.54
 3 89  0.81023  0.00273  0.00137  0.17586  2.41  4.64
 3 90  0.81152  0.00289 -0.00796  0.17462  2.45  4.79
 3 91  0.88040  0.00185 -0.06296  0.25693  2.30  5.01
 3 92  0.88419  0.00193 -0.06210  0.26386  2.33  4.97
 4  4  1.07383  0.00238 -0.07573  0.30243  3.52  6.29
 4  5  1.06136  0.00770 -0.10661  0.32379  4.20  7.16
 4  6  1.12212  0.01277 -0.10146  0.41736  3.93  6.66
 4  7  0.99984  0.02067 -0.07168  0.31806  3.70  6.44
 4  8  0.92738  0.02629 -0.05378  0.24424  3.43  5.61
 4  9  0.90773  0.02791 -0.03860  0.20680  2.88  5.29
 4 10  1.07807  0.09457  0.27608  0.26939  2.68  7.55
 4 11  1.08875  0.00026 -0.30885  0.39353  2.48  6.42
 4 12  0.98518  0.00010 -0.32243  0.29537  2.39  5.21
 4 13  0.97830  0.00170 -0.15373  0.27598  1.95  3.62
 4 14  0.98092  0.00360 -0.12190  0.27293  1.83  3.44
 4 15  0.97952  0.00588 -0.10093  0.26332  1.87  3.56
 4 16  0.94982  0.00814 -0.08575  0.23247  2.20  3.41
 4 17  0.92906  0.00850 -0.07169  0.20490  2.23  3.19
 4 18  1.00405  0.01244  0.13142  0.25345  1.95  3.40
 4 19  1.08062  0.00016 -0.28999  0.33869  1.70  3.25
 4 20  1.13105  0.00044 -0.17652  0.38159  1.93  4.26
 4 21  1.10884  0.00463 -0.05256  0.37048  1.92  4.04
 4 22  1.10959  0.00856 -0.01705  0.38097  1.76  3.30
 4 23  1.07797  0.01088 -0.01296  0.36188  1.63  3.68
 4 24  1.07723  0.01008 -0.03470  0.37440  1.62  3.82
 4 25  1.05473  0.00911 -0.05231  0.37544  1.05  2.49
 4 26  1.04773  0.00852 -0.06447  0.38421  1.00  2.30
 4 27  1.04299  0.00792 -0.07496  0.39048  1.00  2.23
 4 28  1.00834  0.00856 -0.06136  0.36197  1.21  2.36
 4 29  1.04021  0.00378 -0.10530  0.39937  1.13  2.61
 4 30  1.09302  0.00019 -0.27382  0.44953  1.55  3.63
 4 31  1.00820  0.00096 -0.17831  0.37445  1.75  3.36
 4 32  0.97529  0.00155 -0.16172  0.34294  1.93  3.44
 4 33  0.94008  0.00243 -0.13712  0.30799  1.64  2.69
 4 34  0.91044  0.00339 -0.11876  0.27218  2.15  3.56
 4 35  0.88542  0.00334 -0.10749  0.24024  2.19  3.65
 4 36  0.95884  0.00223 -0.00336  0.28726  2.70  5.04
 4 37  0.95429  0.00036 -0.15726  0.29264  2.17  3.92
 4 38  0.94164  0.00646  0.14442  0.26472  2.41  5.11
 4 39  0.93090  0.00380 -0.02728  0.26283  2.05  4.07
 4 40  0.91664  0.00670  0.00072  0.24592  1.98  4.13
 4 41  0.90263  0.00742 -0.00698  0.23435  1.70  3.41
 4 42  0.90604  0.00678 -0.02772  0.24084  1.62  3.24
 4 43  0.91210  0.00625 -0.04433  0.24897  1.55  3.15
 4 44  0.91451  0.00603 -0.05265  0.25353  1.53  3.12
 4 45  0.90450  0.00625 -0.05042  0.24375  1.48  2.91
 4 46  0.89045  0.00612 -0.04698  0.22910  1.47  2.67
 4 47  0.91712  0.00497 -0.02392  0.25048  1.69  3.22
 4 48  0.96388  0.00549  0.08532  0.28106  2.67  5.21
 4 49  0.95359  0.00188 -0.07415  0.27685  2.20  4.90
 4 50  0.93545  0.00186 -0.10116  0.25940  2.09  4.70
 4 51  0.91071  0.00237 -0.09393  0.23604  1.63  3.34
