 1.000000000000000e+01 -1.279135451561331e-01 -9.511597199503541e-02 -2.517932999659139e-02 -1.872324345233512e-02
 7.906043210907701e+00 -1.286394498399943e-01 -9.739750572789063e-02 -2.001985795265373e-02 -1.515774695896534e-02
 6.250551925273976e+00 -1.293470976944207e-01 -1.010370526575528e-01 -1.591485513261990e-02 -1.243158976686650e-02
 4.941713361323838e+00 -1.305177472421803e-01 -1.066756139658267e-01 -1.269622920669066e-02 -1.037696462199497e-02
 3.906939937054621e+00 -1.316106077464099e-01 -1.142565895661463e-01 -1.012174200449093e-02 -8.787101144080007e-03
 3.088843596477485e+00 -1.369171920823931e-01 -1.319229978906336e-01 -8.324948131823171e-03 -8.021287160002839e-03
 2.442053094548650e+00 -1.579435354622944e-01 -1.916849177585007e-01 -7.592496339527288e-03 -9.214476756925849e-03
 1.930697728883250e+00 -2.496068223180430e-01 -3.482552007757320e-01 -9.486333118867086e-03 -1.323547495319292e-02
 1.526417967175233e+00 -3.357504420465887e-01 -4.994131173455187e-01 -1.008829321592678e-02 -1.500586546647804e-02
 1.206792640639329e+00 -1.392037321063810e-01 -3.158556852971017e-01 -3.306824648185327e-03 -7.503242546771095e-03
 9.540954763499944e-01  8.133617304575012e-01  6.062961984638306e-01  1.527577332263431e-02  1.138686877842024e-02
 7.543120063354622e-01  2.959185539990443e+00  2.763095405508231e+00  4.393906898701407e-02  4.102745096568695e-02
 5.963623316594643e-01  6.127430058643114e+00  5.901711568087926e+00  7.193101702365270e-02  6.928126656852081e-02
 4.714866363457395e-01  1.177737241208220e+01  1.152270083771338e+01  1.093063594170287e-01  1.069427402949314e-01
 3.727593720314942e-01  2.209013767190353e+01  2.180165896392577e+01  1.620894049594518e-01  1.599726530037109e-01
 2.947051702551809e-01  3.909882526268066e+01  3.876548467225472e+01  2.268188259614242e-01  2.248850614337757e-01
 2.329951810515372e-01  6.420425566100923e+01  6.381940584468952e+01  2.944681908874903e-01  2.927031049440694e-01
 1.842069969326716e-01  9.900934725142568e+01  9.858778909308251e+01  3.590128172308679e-01  3.574842263830855e-01
 1.456348477501244e-01  1.476398290621625e+02  1.472456448554740e+02  4.232495195611675e-01  4.221194838712098e-01
 1.151395399326448e-01  2.162589911706433e+02  2.158626261570150e+02  4.901469409304773e-01  4.892485870730487e-01
 9.102981779915217e-02  3.107848468288598e+02  3.104047326932986e+02  5.568922100071758e-01  5.562110873489523e-01
 7.196856730011521e-02  4.372727781545833e+02  4.368996667004650e+02  6.194737854690522e-01  6.189452074819659e-01
 5.689866029018299e-02  6.031834841870790e+02  6.028201518442761e+02  6.755836279727783e-01  6.751766848306903e-01
 4.498432668969444e-02  8.187758994805048e+02  8.184220145935185e+02  7.250265480506737e-01  7.247131827718694e-01
 3.556480306223128e-02  1.097858275948482e+03  1.097513221491723e+03  7.685892789594906e-01  7.683477130288671e-01
 2.811768697974231e-02  1.457955258633607e+03  1.457617811652168e+03  8.069589124001103e-01  8.067721399682938e-01
 2.222996482526196e-02  1.920749536276281e+03  1.920418540060291e+03  8.404988944087816e-01  8.403540541012147e-01
 1.757510624854793e-02  2.513077135528927e+03  2.512751634220655e+03  8.694235747079626e-01  8.693109643519139e-01
 1.389495494373137e-02  3.268425607483399e+03  3.268102728427943e+03  8.939708982751920e-01  8.938825852725711e-01
 1.098541141987558e-02  4.229050152770377e+03  4.228728873648930e+03  9.145064987362855e-01  9.144370240708505e-01
 8.685113737513529e-03  5.448200367059996e+03  5.447880346715072e+03  9.314428543546166e-01  9.313881425886306e-01
 6.866488450042998e-03  6.993357969064326e+03  6.993038959543548e+03  9.452530490312104e-01  9.452099303000489e-01
 5.428675439323859e-03  8.950056936089668e+03  8.949739204170270e+03  9.564170499596081e-01  9.563830966309087e-01
 4.291934260128779e-03  1.142664337357422e+04  1.142632655338729e+04  9.653823812327383e-01  9.653556146122640e-01
 3.393221771895330e-03  1.456030406061947e+04  1.455998788341734e+04  9.725463835721865e-01  9.725252647141448e-01
 2.682695795279727e-03  1.852469954889430e+04  1.852438383608489e+04  9.782508534617331e-01  9.782341813249226e-01
 2.120950887920190e-03  2.353959890497849e+04  2.353928357515480e+04  9.827822515574056e-01  9.827690864837202e-01
 1.676832936811008e-03  2.988305911627717e+04  2.988274412149652e+04  9.863759708941851e-01  9.863655735890973e-01
 1.325711365590109e-03  3.790683820396109e+04  3.790652355230970e+04  9.892229311284731e-01  9.892147199284993e-01
 1.048113134154685e-03  4.805589856626407e+04  4.805558437933234e+04  9.914766700849029e-01  9.914701878626959e-01
 8.286427728546842e-04  6.089308055384323e+04  6.089276687598017e+04  9.932599545685034e-01  9.932548379993106e-01
 6.551285568595509e-04  7.713031413204351e+04  7.713000094031342e+04  9.946705616898518e-01  9.946665227772972e-01
 5.179474679231213e-04  9.766810050430313e+04  9.766778948249205e+04  9.957861687044957e-01  9.957829976464323e-01
 4.094915062380428e-04  1.236454482590745e+05  1.236451372532442e+05  9.966683458903084e-01  9.966658389669176e-01
 3.237457542817643e-04  1.565030461684713e+05  1.565027351742380e+05  9.973658887255952e-01  9.973639068150355e-01
 2.559547922699536e-04  1.980631591305237e+05  1.980628481456227e+05  9.979174136094197e-01  9.979158467493867e-01
