 1.000000000000000e+01 -1.088829997968332e-04 -1.520353942225938e-04 -9.310364218872764e-06 -1.300023784257844e-05
 7.906043210907701e+00 -2.793561708074321e-04 -4.103505704335930e-04 -1.888530686928819e-05 -2.774091735373861e-05
 6.250551925273976e+00 -9.447667702886520e-04 -1.892083915237208e-03 -5.049513880772057e-05 -1.011265880007272e-04
 4.941713361323838e+00 -3.998073492169851e-03 -9.519032299209584e-03 -1.689409443070564e-04 -4.022323022994390e-04
 3.906939937054621e+00 -3.245842846874325e-02 -7.510840960995324e-02 -1.084353328521356e-03 -2.509180444115679e-03
 3.088843596477485e+00 -8.519631780094983e-02 -1.393731197786394e-01 -2.250211483038216e-03 -3.681133206783482e-03
 2.442053094548650e+00 -1.395102778589887e-01 -2.062303965347212e-01 -2.913183886267383e-03 -4.306400053555435e-03
 1.930697728883250e+00 -1.362798424987375e-01 -2.179173620498034e-01 -2.249844497557476e-03 -3.597598653920755e-03
 1.526417967175233e+00  1.150449233388429e-01  8.254648071869042e-03  1.501576703652541e-03  1.077404102835711e-04
 1.206792640639329e+00  1.010081078132117e+00  8.637059811865981e-01  1.042306585992465e-02  8.912615551779739e-03
 9.540954763499944e-01  2.828840480404011e+00  2.644565895920067e+00  2.307846333178170e-02  2.157510028587935e-02
 7.543120063354622e-01  6.095946933351030e+00  5.854830222189861e+00  3.931866751678346e-02  3.776347225302240e-02
 5.963623316594643e-01  1.278831283941398e+01  1.247874441828648e+01  6.521237980375567e-02  6.363377489259053e-02
 4.714866363457395e-01  2.603867534217753e+01  2.565072245253495e+01  1.049771717029658e-01  1.034131060746847e-01
 3.727593720314942e-01  4.675592691483408e+01  4.632742212051377e+01  1.490293598209088e-01  1.476635480534710e-01
 2.947051702551809e-01  7.726242484197874e+01  7.680341266367824e+01  1.946985344949023e-01  1.935418402982964e-01
 2.329951810515372e-01  1.278886368472663e+02  1.273480830989527e+02  2.547918255064355e-01  2.537148832564243e-01
 1.842069969326716e-01  2.058046747181433e+02  2.051993876938517e+02  3.241663649365470e-01  3.232129672808495e-01
 1.456348477501244e-01  3.170570820891489e+02  3.163818835300949e+02  3.948292854843322e-01  3.939884647624774e-01
 1.151395399326448e-01  4.695490482107923e+02  4.688176441473953e+02  4.622873905532982e-01  4.615672977808897e-01
 9.102981779915217e-02  6.781090996264123e+02  6.773424849204986e+02  5.278248574388801e-01  5.272281418099607e-01
 7.196856730011521e-02  9.612087247167332e+02  9.604451099388380e+02  5.915168965197425e-01  5.910469766865758e-01
 5.689866029018299e-02  1.338071449256171e+03  1.337319803088667e+03  6.510104176321435e-01  6.506447200562104e-01
 4.498432668969444e-02  1.830903362314392e+03  1.830158883309191e+03  7.042603529879614e-01  7.039739877664065e-01
 3.556480306223128e-02  2.468910318375479e+03  2.468175198797025e+03  7.508139207868143e-01  7.505903654762637e-01
 2.811768697974231e-02  3.291262388060274e+03  3.290535976784444e+03  7.913137131563955e-01  7.911390630871573e-01
 2.222996482526196e-02  4.348256557181632e+03  4.347536738564630e+03  8.265336310621034e-01  8.263968051210870e-01
 1.757510624854793e-02  5.702687313499602e+03  5.701972708044245e+03  8.570064919393614e-01  8.568991001991609e-01
 1.389495494373137e-02  7.432700208067788e+03  7.431996990214268e+03  8.831009509721093e-01  8.830173995926913e-01
 1.098541141987558e-02  9.636087855705207e+03  9.635395859393831e+03  9.051564924353520e-01  9.050914904383422e-01
 8.685113737513529e-03  1.243592658781191e+04  1.243524539542487e+04  9.235496608876492e-01  9.234990723775283e-01
 6.866488450042998e-03  1.598769569641172e+04  1.598702439163658e+04  9.387007409982939e-01  9.386613260443301e-01
 5.428675439323859e-03  2.048816487389710e+04  2.048750174339053e+04  9.510503971271851e-01  9.510196149397366e-01
 4.291934260128779e-03  2.618653709129460e+04  2.618588046554531e+04  9.610317274230320e-01  9.610076296136918e-01
 3.393221771895330e-03  3.339840743951521e+04  3.339775416525350e+04  9.690464541632724e-01  9.690274995736544e-01
 2.682695795279727e-03  4.252334332810304e+04  4.252269206215208e+04  9.754509247766014e-01  9.754359852651608e-01
 2.120950887920190e-03  5.406708735875523e+04  5.406643730017054e+04  9.805509842802650e-01  9.805391949345430e-01
 1.676832936811008e-03  6.866961078324419e+04  6.866896148047131e+04  9.846025928210586e-01  9.845932829504125e-01
 1.325711365590109e-03  8.714059037881030e+04  8.713994159975606e+04  9.878160331904796e-01  9.878086787033342e-01
 1.048113134154685e-03  1.105042954636534e+05  1.105036477208177e+05  9.903618823713919e-01  9.903560771688760e-01
 8.286427728546842e-04  1.400563806261301e+05  1.400557335316815e+05  9.923773406289641e-01  9.923727556049537e-01
 6.551285568595509e-04  1.774357329331287e+05  1.774350862461501e+05  9.939721331251209e-01  9.939685104679201e-01
 5.179474679231213e-04  2.247153557921346e+05  2.247147096170389e+05  9.952336654110822e-01  9.952308035897049e-01
 4.094915062380428e-04  2.845173305192331e+05  2.845166849846909e+05  9.962313782914158e-01  9.962291179659533e-01
 3.237457542817643e-04  3.601582312272611e+05  3.601575864582568e+05  9.970203432606565e-01  9.970185583568052e-01
 2.559547922699536e-04  4.558330574149985e+05  4.558324150945297e+05  9.976441862413745e-01  9.976427804475844e-01
 2.023589647725158e-04  5.768478844380762e+05  5.768472428199564e+05  9.981374407217262e-01  9.981363305103771e-01
 1.599858719606057e-04  7.299141349710901e+05  7.299134938851176e+05  9.985274307156435e-01  9.985265537057346e-01
 1.264855216855296e-04  9.235207902722101e+05  9.235201495756838e+05  9.988357690783657e-01  9.988350761317483e-01
 1.000000000000000e-04  1.168405184630373e+06  1.168404544206224e+06  9.990795481779554e-01  9.990790005642691e-01
