# nexp = 3
# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 1 71  0.11366  53.28724  0.52187  9.88937  0.35184  3.80429  1.28700  0.00371
 1 72  0.10341  57.63019  0.52453 10.30979  0.36195  3.79167  1.22300  0.00376
 1 73  0.10107  59.01910  0.53863 10.34112  0.35298  3.67277  1.18800  0.00355
 1 74  0.09640  61.96344  0.54481 10.52958  0.35500  3.59683  1.16000  0.00357
 1 75  0.09270  64.10715  0.54608 10.74878  0.36159  3.54190  1.13700  0.00362
 1 76  0.08506  68.99362  0.53761 11.21259  0.38032  3.58638  1.11800  0.00359
 1 77  0.07901  74.10890  0.53149 11.60544  0.39380  3.62864  1.10300  0.00354
 1 78  0.07425  78.45568  0.51931 12.03820  0.41006  3.71984  1.13400  0.00357
 1 79  0.06736  85.75699  0.50099 12.66365  0.42961  3.90932  1.18100  0.00348
 1 80  0.10580  55.37208  0.52440 11.01183  0.36677  3.61419  1.38300  0.00550
 1 81  0.11468  51.78135  0.51542 10.89760  0.35942  3.70372  1.36300  0.00602
 1 82  0.12845  47.86839  0.53989 10.29647  0.31988  3.44639  1.30900  0.00574
 1 83  0.16157  40.22288  0.57307  9.25569  0.26620  2.83277  1.27800  0.00591
 1 84  0.17715  37.64319  0.58686  8.86413  0.24825  2.46125  1.25900  0.00589
 1 85  0.17665  37.96950  0.59726  8.85752  0.25280  2.20435  1.24400  0.00556
 1 86  0.11526  54.45165  0.60167 10.33695  0.28617  2.72119  1.96700  0.00647
 1 87  0.08909  67.01241  0.57028 11.59269  0.32940  3.19318  1.91500  0.00511
 1 88  0.12431  51.09687  0.60048 10.27290  0.27787  2.54500  1.52900  0.00389
 1 89  0.08926  67.62169  0.59921 11.38605  0.31230  2.74355  1.48500  0.00461
 1 90  0.08059  74.48436  0.59475 11.82101  0.32759  2.76905  1.44200  0.00395
 1 91  0.09997  58.77020  0.51375 12.25236  0.38614  3.44123  1.33000  0.00402
 1 92  0.08797  66.71524  0.49879 12.99004  0.41149  3.64097  1.31300  0.00417
 2  2  0.34947  11.94261  0.75114  1.78139  0.00000  1.00000  1.85852  0.02165
 2  3  0.08525  36.87060  0.91074  3.19917  0.00000  7.05882  3.77400  0.04747
 2  4  0.91322   4.16629  0.24744  0.41140  0.00000  1.00000  2.93395  0.04789
 2  5  0.99131   3.94472  0.00000  1.00000  0.00000  1.00000  2.69200  0.03402
 2  6  0.99660   4.49197  0.00000  1.00000  0.00000  1.00000  2.46200  0.04185
 2  7  0.99852   5.21519  0.00000  1.00000  0.00000  1.00000  2.29600  0.08442
 2  8  1.04554   4.68428  0.00000  1.00000  0.00000  1.00000  0.99600  0.02183
 2  9  0.65787   6.86927  0.34270  3.11280  0.00000  1.00000  2.12600  0.03073
 2 10  0.61331   8.79625  0.41207  2.16235  0.00000  1.00000  1.98950  0.03786
 2 11  0.36972  13.89837  0.62956  3.11260  0.00000  1.00000  3.84800  0.05107
 2 12  0.38636  13.42067  0.60958  3.03654  0.00000  1.00000  3.42000  0.02977
 2 13  0.32203  16.48238  0.67684  3.24132  0.00000  1.00000  3.20700  0.02727
 2 14  0.20944  26.56140  0.78936  3.67428  0.00000  1.00000  3.03700  0.04396
 2 15  0.99694   4.33287  0.00000  1.00000  0.00000  1.00000  2.87000  0.10502
 2 16  0.99564   4.71575  0.00000  1.00000  0.00000  1.00000  2.74200  0.12480
 2 17  0.24180  21.33315  0.73887  3.86327  0.15397  0.21956  2.65600  0.01917
 2 18  0.10143  38.27342  0.63350  6.34127  0.28008  1.83553  2.45856  0.02316
 2 19  0.51384  10.17962  0.48613  2.72993  0.00000  1.00000  4.37200  0.03599
 2 20  0.09468  38.47714  0.43811  8.09353  0.46446  2.85714  4.13900  0.02295
 2 21  0.32602  16.35106  0.67230  3.51542  0.00000  1.00000  3.79600  0.03614
 2 22  0.24915  22.60409  0.74958  3.87592  0.00000  1.00000  3.60500  0.04783
 2 23  0.21725  26.14218  0.78189  4.10757  0.00000  1.00000  3.42800  0.05018
 2 24  0.21097  26.27629  0.78872  4.25584  0.00000  1.00000  3.29200  0.04370
 2 25  0.16276  35.17323  0.83695  4.54381  0.00000  1.00000  3.12500  0.05443
 2 26  0.17049  32.66897  0.82969  4.63609  0.00000  1.00000  2.07531  0.04547
 2 27  0.14446  39.53605  0.85592  4.82909  0.00000  1.00000  1.80850  0.05680
 2 28  0.17611  31.55134  0.82458  4.79801  0.00000  1.00000  1.67099  0.04888
 2 29  0.37991  13.57829  0.62028  4.14244  0.00000  1.00000  2.44890  0.02449
 2 30  0.63994   9.05009  0.35834  3.25377  0.00000  1.00000  3.04700  0.02390
 2 31  0.53691  10.92590  0.41843  3.69728  0.04479  2.35262  3.08900  0.01749
 2 32  0.43765  14.03447  0.56158  3.81046  0.00000  1.00000  3.06500  0.02661
 2 33  0.33568  18.98564  0.66269  4.17399  0.00000  1.00000  2.96700  0.04440
 2 34  0.25943  25.55318  0.73774  4.50529  0.00000  1.00000  2.88200  0.07532
 2 35  0.58833  10.74052  0.40967  3.22098  0.00000  1.00000  2.82400  0.01943
 2 36  0.19166  24.53293  0.60221  6.77663  0.21143  2.03094  2.69026  0.01456
 2 37  0.04140  92.11389  0.59979 10.06779  0.35880  2.71898  4.50900  0.02272
 2 38  0.62926  10.59237  0.36894  2.81845  0.00000  1.00000  4.55000  0.02275
 2 39  0.46873  15.45718  0.53067  3.38420  0.00000  1.00000  3.95200  0.03498
 2 40  0.37501  20.68212  0.62482  3.73609  0.00000  1.00000  3.70100  0.05253
 2 41  0.32702  24.47416  0.67332  3.94863  0.00000  1.00000  2.17106  0.06239
 2 42  0.31418  20.05986  0.45031  5.78314  0.26247  2.28435  1.68811  0.00860
 2 43  0.49734  13.89772  0.51428  3.37061  0.00000  1.00000  1.55900  0.01423
 2 44  0.34623  19.75369  0.59862  4.58092  9.99990  0.07441  1.48400  0.00562
 2 45  0.34022  20.15930  0.58166  4.71667  0.14543  1.17848  1.47900  0.00567
 2 46  0.30606  21.82947  0.43676  5.74102  0.27160  2.77763  1.56500  0.00642
 2 47  0.15345  31.26681  0.33592 10.92824  0.51025  3.64651  3.00400  0.00858
 2 48  0.33575  20.15215  0.40423  5.58594  0.25946  2.88280  3.23600  0.01225
 2 49  0.14962  34.91409  0.42955  9.54396  0.42068  3.24549  3.31700  0.00869
 2 50  0.45983  16.26737  0.53951  3.59134  0.00000  1.00000  3.30000  0.02645
 2 51  0.39553  20.18334  0.60300  3.80931  0.00000  1.00000  3.21800  0.04090
 2 52  0.37470  21.63446  0.62305  3.91782  0.00000  1.00000  3.13900  0.04928
 2 53  0.55495  12.75213  0.44332  3.20625  0.00000  1.00000  3.07600  0.02299
 2 54  0.34391  21.49424  0.51916  5.01672  0.14068  1.83780  2.94778  0.01397
 2 55  0.18172  34.87437  0.53602  7.62119  0.28232  2.57943  3.92481  0.01775
 2 56  0.09611  54.52625  0.52037 10.13096  0.38322  2.99454  4.63200  0.02583
 2 57  0.35333  21.34746  0.46501  5.10233  0.19166  2.04045  2.22000  0.00904
 2 58  0.20465  32.95693  0.59037  6.74968  0.20450  2.51454  4.47600  0.01732
 2 59  0.18618  35.95207  0.61222  6.95050  0.20117  2.53971  4.44600  0.01878
 2 60  0.17325  38.45526  0.62815  7.10557  0.19822  2.56455  4.41900  0.02075
 2 61  0.16411  40.54349  0.64066  7.22084  0.19488  2.58671  4.38900  0.02272
 2 62  0.15627  42.50431  0.65125  7.33305  0.19216  2.60980  4.35600  0.02438
 2 63  0.15533  42.88938  0.66114  7.33286  0.18326  2.59913  4.33800  0.02348
 2 64  0.17694  36.72080  0.60946  7.35987  0.21287  2.91700  4.53200  0.01674
 2 65  0.14295  46.18973  0.67390  7.58930  0.18289  2.65695  4.28200  0.02431
 2 66  0.13621  48.19353  0.67893  7.74339  0.18460  2.69096  4.26200  0.02414
 2 67  0.13147  49.63758  0.68037  7.89228  0.18789  2.72972  4.23400  0.02357
 2 68  0.12672  50.93005  0.67702  8.09388  0.19597  2.78378  4.21700  0.02168
 2 69  0.12030  52.84866  0.66759  8.38138  0.21180  2.85877  4.19300  0.02033
 2 70  0.15077  41.95538  0.64386  8.09067  0.20482  2.79830  4.13400  0.01411
 2 71  0.05242 111.45250  0.58663 11.20091  0.36044  3.51576  4.10200  0.02732
 2 72  0.52053  15.45114  0.47926  3.98402  0.00000  1.00000  3.69900  0.05118
 2 73  0.47146  17.67513  0.52864  4.17417  0.00000  1.00000  2.30875  0.05698
 2 74  0.20923  31.67816  0.61107  7.52999  0.19657  2.41042  1.68400  0.00596
 2 75  0.22373  29.74415  0.58940  7.50480  0.20541  2.46069  1.55900  0.00700
 2 76  0.15667  39.72777  0.57316  8.95595  0.28162  3.02476  1.49000  0.00472
 2 77  0.14217  42.74920  0.55024  9.55064  0.31531  3.28106  1.53500  0.00450
 2 78  0.14426  42.59757  0.53554  9.65943  0.32494  3.38585  1.66000  0.00487
 2 79  0.12495  48.09468  0.53940 10.17604  0.33539  3.46987  3.06300  0.00485
 2 80  0.22141  29.76984  0.52649  8.26431  0.25173  3.02653  3.26200  0.00916
 2 81  0.12256  48.99300  0.57868  9.98320  0.29871  3.15473  3.40200  0.00591
 2 82  0.60493  14.09046  0.39461  3.48152  0.00000  1.00000  3.42100  0.02867
 2 83  0.56645  15.45093  0.43260  3.64349  0.00000  1.00000  3.32700  0.03809
 2 84  0.55188  15.98687  0.44669  3.70962  0.00000  1.00000  3.25700  0.04429
 2 85  0.66718  12.51793  0.33176  3.12168  0.00000  1.00000  3.20100  0.02355
 2 86  0.50509  16.87562  0.40385  4.66281  0.09341  1.78512  3.07342  0.01679
 2 87  0.31919  23.77179  0.45455  7.37010  0.22627  2.51537  4.72943  0.01918
 2 88  0.06818  80.25740  0.59673 12.08866  0.33502  2.92169  4.74100  0.02177
 2 89  0.49781  17.37757  0.36326  4.93915  0.14528  2.02302  2.31000  0.01205
 2 90  0.50715  17.32090  0.35853  4.75786  0.14215  2.01287  2.12400  0.01116
 2 91  0.24988  30.13901  0.45846  8.37841  0.29178  3.20565  2.77110  0.02497
 2 92  0.23658  31.94595  0.46136  8.61008  0.30210  3.30888  3.10009  0.02726
 3  3  0.92341   4.17264  0.00000  1.00000  0.00000  1.00000  2.00700  0.03990
 3  4  0.85040   5.01387  9.99990  0.07687  0.00000  1.00000  1.99100  0.03090
 3  5  0.87332   5.13808  9.99990  0.07544  0.00000  1.00000  1.53700  0.02428
 3  6  0.03516  62.38150  0.90244  4.89274  0.00000  1.00000  1.32600  0.01732
 3  7  0.94620   5.33923  0.00000  1.00000  0.00000  1.00000  1.19000  0.02153
 3  8  0.87054   6.22019  9.99990  0.08592  0.00000  1.00000  1.09500  0.02472
 3  9  0.75466   7.55599  9.99990  0.16775  0.00000  1.00000  1.05100  0.02522
 3 10  0.27120  18.14866  0.73149  3.52706  0.00000  1.00000  1.98381  0.05297
 3 11  0.24703  18.90383  0.73296  3.83711  0.00000  1.00000  2.05100  0.03657
 3 12  0.26249  18.34725  0.70340  3.85193  9.99990  0.02474  2.56600  0.02359
 3 13  0.26411  19.11296  0.70976  3.79872  0.00000  1.00000  1.98100  0.01888
 3 14  0.21354  23.94137  0.75585  4.08635  0.00000  1.00000  1.73500  0.02475
 3 15  0.17391  29.18547  0.79309  4.35133  0.00000  1.00000  1.58000  0.03118
 3 16  0.20103  24.84138  0.75814  4.32798  0.00000  1.00000  1.46700  0.01850
 3 17  0.19671  23.85989  0.73957  4.59065  0.00000  1.00000  1.39000  0.02228
 3 18  0.51135  10.56008  0.49163  2.76323  0.00000  1.00000  2.43635  0.03566
 3 19  0.40890  12.80563  0.57886  3.29896  0.00000  1.00000  2.59700  0.03225
 3 20  0.02611  88.17586  0.35161 12.84295  0.60819  3.51793  2.53600  0.02901
 3 21  0.02619  91.86403  0.34367 13.07008  0.62244  3.59771  2.06500  0.02814
 3 22  0.02482  94.15965  0.30441 14.31503  0.66388  3.86706  1.86600  0.02836
 3 23  0.02588  90.51539  0.28844 14.67866  0.68125  4.02051  1.74500  0.02677
 3 24  0.02073 109.26789  0.28080 15.58055  0.69670  4.13473  1.65300  0.02526
 3 25  0.02402 110.29607  0.30062 14.39364  0.67765  4.12421  1.55800  0.02285
 3 26  0.03071 101.77644  0.35333 12.34428  0.62194  3.99650  1.48000  0.01852
 3 27  0.04248  82.18594  0.41509 10.56115  0.54945  3.86000  1.41900  0.01344
 3 28  0.03274 101.89044  0.36869 11.97554  0.59853  4.16021  1.40400  0.01696
 3 29  0.04451  81.52456  0.46524 10.13176  0.48570  3.82523  1.46300  0.00966
 3 30  0.41553  13.08447  0.56489  4.27201  0.04088  0.53579  2.42500  0.01510
 3 31  0.03691  97.99510  0.47822 10.70361  0.47549  3.81690  1.93700  0.01071
 3 32  0.41608  14.09333  0.57031  4.18150  0.00000  1.00000  1.76500  0.01609
 3 33  0.35663  16.55296  0.62617  4.44941  0.00000  1.00000  1.65400  0.02079
 3 34  0.02358 143.53552  0.41588 13.16101  0.54163  4.12136  1.57000  0.01102
 3 35  0.28231  19.87429  0.64857  5.25347  9.99990  0.06064  1.51000  0.01606
 3 36  0.07270  54.62613  0.59934  9.18151  0.32936  2.71038  2.76236  0.01932
 3 37  0.03019 119.57154  0.52362 11.73921  0.43964  3.26363  2.79200  0.02096
 3 38  0.02465 143.17148  0.49341 12.70076  0.47452  3.41217  2.86400  0.02051
 3 39  0.02724 125.36449  0.48549 12.84484  0.48391  3.40945  2.18800  0.01840
 3 40  0.02038 164.49244  0.45843 14.00103  0.51939  3.55525  1.95700  0.02050
 3 41  0.03262  98.71087  0.45895 13.31447  0.51098  3.50427  1.80600  0.01558
 3 42  0.05487  61.87109  0.45713 12.40645  0.49614  3.40469  1.67200  0.01475
 3 43  0.20954  26.35718  0.42113  8.09752  0.38731  2.95493  1.54300  0.01009
 3 44  0.19357  27.65074  0.38485  8.89789  0.43358  3.24992  1.48600  0.01022
 3 45  0.20655  27.09943  0.36298  8.71868  0.43966  3.36892  1.47100  0.00906
