0.000   1.000e+00
0.002   9.733e-01
0.004   9.489e-01
0.006   9.271e-01
0.008   9.063e-01
0.010   8.863e-01
0.012   8.668e-01
0.014   8.481e-01
0.016   8.300e-01
0.018   8.124e-01
0.020   7.955e-01
0.040   6.570e-01
0.060   5.533e-01
0.080   4.725e-01
0.100   4.071e-01
0.120   3.538e-01
0.140   3.106e-01
0.160   2.752e-01
0.180   2.445e-01
0.200   2.166e-01
0.240   1.702e-01
0.280   1.365e-01
0.320   1.121e-01
0.360   9.257e-02
0.400   7.577e-02
0.450   5.952e-02
0.500   4.754e-02
0.550   3.848e-02
0.600   3.147e-02
0.650   2.582e-02
0.700   2.111e-02
0.750   1.718e-02
0.800   1.400e-02
0.850   1.149e-02
0.900   9.528e-03
0.950   7.993e-03
1.000   6.781e-03
1.100   4.984e-03
1.200   3.700e-03
1.300   2.754e-03
1.400   2.053e-03
1.500   1.536e-03
1.600   1.156e-03
1.700   8.759e-04
1.800   6.678e-04
1.900   5.107e-04
2.000   3.900e-04
2.100   2.954e-04
2.200   2.202e-04
2.300   1.597e-04
2.400   1.104e-04
2.500   7.001e-05
2.600   3.687e-05
2.700   9.850e-06
2.759   0.000e+00
