0.000   1.000e+00
0.002   9.732e-01
0.004   9.487e-01
0.006   9.263e-01
0.008   9.055e-01
0.500   4.749e-02
0.550   3.781e-02
0.600   3.060e-02
0.650   2.513e-02
0.700   2.081e-02
0.750   1.725e-02
0.800   1.422e-02
0.850   1.167e-02
0.900   9.561e-03
0.950   7.850e-03
1.000   6.495e-03
1.100   4.527e-03
1.200   3.177e-03
1.300   2.245e-03
1.400   1.558e-03
1.500   1.049e-03
1.600   6.907e-04
1.700   4.639e-04
1.800   3.115e-04
1.900   2.167e-04
2.000   1.831e-04
2.100   1.522e-04
2.200   1.238e-04
2.300   1.067e-04
2.400   9.173e-05
2.500   7.272e-05
2.600   4.856e-05
2.700   2.148e-05
2.779   0.000e+00
