0.000   1.000e+00
0.002   9.793e-01
0.004   9.597e-01
0.006   9.407e-01
0.008   9.226e-01
0.010   9.058e-01
0.012   8.897e-01
0.014   8.744e-01
0.016   8.597e-01
0.018   8.454e-01
0.020   8.315e-01
0.040   7.123e-01
0.060   6.189e-01
0.080   5.448e-01
0.100   4.836e-01
0.120   4.304e-01
0.140   3.839e-01
0.160   3.436e-01
0.180   3.093e-01
0.200   2.802e-01
0.240   2.346e-01
0.280   2.010e-01
0.320   1.736e-01
0.360   1.491e-01
0.400   1.273e-01
0.450   1.045e-01
0.500   8.656e-02
0.550   7.256e-02
0.600   6.164e-02
0.650   5.300e-02
0.700   4.594e-02
0.750   3.999e-02
0.800   3.481e-02
0.850   3.023e-02
0.900   2.617e-02
0.950   2.259e-02
1.000   1.945e-02
1.100   1.441e-02
1.200   1.076e-02
1.300   8.194e-03
1.400   6.498e-03
1.500   5.349e-03
1.600   4.526e-03
1.700   3.858e-03
1.800   3.221e-03
1.900   2.617e-03
2.000   2.195e-03
2.100   1.814e-03
2.200   1.483e-03
2.300   1.202e-03
2.400   9.680e-04
2.500   7.790e-04
2.600   6.287e-04
2.700   5.096e-04
2.800   4.173e-04
2.900   3.486e-04
3.000   2.967e-04
3.100   2.561e-04
3.200   2.237e-04
3.300   1.979e-04
3.400   1.774e-04
3.500   1.593e-04
3.600   1.419e-04
3.700   1.247e-04
3.800   1.078e-04
3.900   9.257e-05
4.000   7.979e-05
5.000   7.633e-05
6.000   1.062e-04
7.000   1.275e-04
8.000   1.313e-04
9.000   1.289e-04
10.000   1.256e-04
100.000   9.247e-05
1000.000   0.000e+00
