# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 1 71  0.11256  53.67455  0.51849  9.95254  0.35597  3.83118  1.28700  0.00478
 1 72  0.10341  57.63018  0.52453 10.30979  0.36195  3.79167  1.22300  0.00496
 1 73  0.10056  59.24947  0.53710 10.37142  0.35476  3.68698  1.18800  0.00468
 1 74  0.09596  62.18963  0.54361 10.55521  0.35639  3.60874  1.16000  0.00468
 1 75  0.09163  64.72249  0.54345 10.81110  0.36468  3.56951  1.13700  0.00467
 1 76  0.08506  68.99361  0.53761 11.21259  0.38032  3.58638  1.11800  0.00473
 1 77  0.07901  74.10890  0.53149 11.60544  0.39380  3.62864  1.10300  0.00470
 1 78  0.07425  78.45569  0.51931 12.03820  0.41006  3.71984  1.13400  0.00481
 1 79  0.06716  85.99934  0.50066 12.67718  0.43007  3.91285  1.18100  0.00469
 1 80  0.08560  66.31192  0.51332 11.82593  0.39530  3.79860  1.38300  0.00580
 1 81  0.09215  62.13517  0.50534 11.75620  0.38958  3.89189  1.36300  0.00664
 1 82  0.10484  56.43141  0.52457 11.15392  0.35470  3.70825  1.30900  0.00672
 1 83  0.13254  47.03570  0.55885 10.09143  0.30136  3.19382  1.27800  0.00695
 1 84  0.15126  42.58676  0.57681  9.53256  0.27319  2.81769  1.25900  0.00701
 1 85  0.16300  40.42430  0.59316  9.19164  0.26111  2.41067  1.24400  0.00675
 1 86  0.12333  51.33910  0.60045 10.13484  0.28012  2.67454  1.96700  0.00771
 1 87  0.08227  72.24148  0.57017 11.82439  0.33581  3.23512  1.91500  0.00588
 1 88  0.12483  50.91406  0.60045 10.25930  0.27751  2.54054  1.52900  0.00501
 1 89  0.09351  64.82413  0.60031 11.23875  0.30855  2.69496  1.48500  0.00550
 1 90  0.08059  74.48436  0.59475 11.82101  0.32759  2.76905  1.44200  0.00498
 1 91  0.09838  59.56717  0.51380 12.30824  0.38745  3.45148  1.33000  0.00538
 1 92  0.08882  66.14984  0.49879 12.95646  0.41075  3.63551  1.31300  0.00545
 2  2  0.39100  10.64676  0.75730  1.57021  0.00000  1.00000  1.77037  0.01979
 2  3  0.11179  29.96188  0.88605  3.09371  0.00000  1.00000  3.77400  0.05075
 2  4  0.92871   4.08338  9.99990  0.04180  0.00000  1.00000  2.87538  0.05411
