# fitted for a_NLH (0.5 0.5)
# Z1 Z2 a b c d relerr(%)
 2  8  0.45531 -1.85036  6.30965 -1.09505  1.90103
 2  9  0.43140 -1.73965  6.27409 -1.07531  1.49277
 2 10  0.16511 -1.82707  7.15448 -1.04640  0.96243
 2 11  0.32036 -1.72474  6.75089 -0.94448  1.31137
 2 12  0.57106 -1.63551  6.45973 -0.88305  2.47718
 2 13  0.36960 -1.71180  6.65002 -0.91527  1.30834
 2 14  0.45584 -1.70377  6.35392 -0.88379  1.64897
 2 15  0.77054 -1.64601  3.98640 -0.92239  3.47212
 2 16  1.13567 -1.60190  3.92649 -0.86441  4.45557
 2 17  0.50730 -1.67092  6.39554 -0.91108  2.59697
 2 18  0.15968 -1.78346  6.59392 -1.02778  2.77059
 2 19  0.20830 -1.73853  6.20921 -0.99798  1.01005
 2 20  0.57588 -1.61590  6.15431 -0.88700  2.94148
 2 21  0.47365 -1.67095  6.31508 -0.89209  2.74485
 2 22  0.47657 -1.68792  6.37375 -0.88295  1.99659
 2 23  0.43216 -1.71216  6.42323 -0.90502  1.69556
 2 24  0.39057 -1.73210  6.50084 -0.93127  2.31135
 2 25  0.42562 -1.73221  6.38243 -0.92991  2.55696
 2 26  0.45087 -1.74124  6.67035 -0.93745  2.31671
 2 27  0.48331 -1.74364  6.66602 -0.93828  2.37609
 2 28  0.48046 -1.74685  6.93457 -0.94263  2.15282
 2 29  0.34418 -1.74990  6.77604 -1.00872  1.37517
 2 30  0.43800 -1.67926  6.23736 -1.03094  0.94134
 2 31  0.30029 -1.72907  6.70209 -1.03209  0.86031
 2 32  0.34038 -1.72672  7.03649 -0.98032  0.85076
 2 33  0.53337 -1.67959  7.00846 -0.90302  2.24773
 2 34  0.84741 -1.62338  6.57631 -0.82203  4.34203
 2 35  0.35941 -1.69336  6.72533 -1.00717  0.81245
 2 36  0.18035 -1.75070  7.20304 -1.03356  2.70498
 2 37  0.20495 -1.72662  7.10195 -0.99784  1.05652
 2 38  0.34940 -1.65853  6.63782 -0.98218  2.80601
 2 39  0.25966 -1.72763  7.24066 -0.94969  1.40353
 2 40  0.30166 -1.72579  7.32227 -0.91239  2.12546
 2 41  0.34710 -1.73485  7.46306 -0.90181  2.35033
 2 42  0.21326 -1.79735  7.57139 -0.99870  2.49639
 2 43  0.22933 -1.79717  7.45105 -1.00502  1.32927
 2 44  0.23505 -1.80000  7.67433 -0.99479  2.73046
 2 45  0.26996 -1.78376  7.66593 -0.98385  2.47968
 2 46  0.28484 -1.77308  7.62428 -0.97637  2.34692
 2 47  0.31146 -1.72310  7.26850 -0.95076  1.57608
 2 48  0.35466 -1.68824  7.15586 -0.94653  1.64231
 2 49  0.27950 -1.71804  7.26269 -0.96006  1.77345
 2 50  0.27612 -1.72612  7.24069 -0.94912  1.31534
 2 51  0.39552 -1.68696  7.28088 -0.88937  1.89753
 2 52  0.52359 -1.65154  7.14810 -0.85396  3.25239
 2 53  0.29593 -1.69774  6.86258 -0.97335  1.24448
 2 54  0.27381 -1.69024  7.24408 -0.96085  3.06134
 2 55  0.25270 -1.69653  7.15548 -0.96880  2.44127
 2 56  0.23049 -1.71501  7.14961 -0.96676  1.68380
 2 57  0.22138 -1.74155  7.39429 -0.96186  2.88440
 2 58  0.36314 -1.65765  7.03422 -0.96191  2.91128
 2 59  0.36910 -1.65777  7.02779 -0.96823  3.06234
 2 60  0.37408 -1.65810  7.02694 -0.97352  3.17187
 2 61  0.38142 -1.65765  7.02850 -0.97729  3.25190
 2 62  0.38742 -1.65757  7.03442 -0.98103  3.31565
 2 63  0.40296 -1.65416  7.04056 -0.98216  3.39901
 2 64  0.45344 -1.65083  7.06333 -0.96032  2.55069
 2 65  0.40495 -1.65626  7.08039 -0.99003  3.43893
 2 66  0.40049 -1.65857  7.10568 -0.99473  3.44130
 2 67  0.39391 -1.66146  7.14038 -0.99845  3.41339
 2 68  0.37779 -1.66691  7.19194 -1.00252  3.32821
 2 69  0.35085 -1.67577  7.25124 -1.00609  3.16436
 2 70  0.37244 -1.66597  7.32259 -0.99473  2.91957
 2 71  0.27659 -1.71710  7.34042 -1.00186  1.75400
 2 72  0.26121 -1.73849  7.45500 -0.99292  1.21223
 2 73  0.29762 -1.74325  7.77923 -0.97258  1.37406
 2 74  0.25248 -1.76817  7.88677 -1.02105  3.35377
 2 75  0.26441 -1.76977  7.95862 -1.01653  3.05003
 2 76  0.28016 -1.76640  8.02110 -1.00997  2.76043
 2 77  0.28895 -1.76127  8.01289 -1.00455  2.56511
 2 78  0.29694 -1.75141  7.96153 -0.99858  2.48113
 2 79  0.30985 -1.70984  7.66619 -0.98365  2.06906
 2 80  0.31899 -1.69138  7.64052 -0.98581  2.13885
 2 81  0.26804 -1.71010  7.67802 -0.99290  2.17285
 2 82  0.21671 -1.73775  7.50645 -1.00565  0.82412
 2 83  0.26692 -1.71794  7.66040 -0.97589  1.06606
 2 84  0.33314 -1.69148  7.65899 -0.95384  1.85070
 2 85  0.21477 -1.72195  7.24484 -1.02273  0.74255
 2 86  0.26647 -1.68260  7.60380 -0.99038  1.98355
 2 87  0.22371 -1.69130  7.67585 -0.98046  1.86641
 2 88  0.18785 -1.72059  7.77403 -0.97362  0.98168
 2 89  0.19603 -1.73849  7.80898 -0.99525  1.86790
 2 90  0.19921 -1.74423  7.86518 -0.99099  1.76316
 2 91  0.30173 -1.70529  7.79907 -0.96763  2.18629
 2 92  0.31059 -1.70141  7.77515 -0.96397  2.22543
 3  3  0.03321 -1.97200  5.01716 -1.20572  3.40529
 3  4  0.06445 -1.90792  5.61721 -1.14397  1.87586
 3  5  0.08368 -1.92255  5.81658 -1.16621  2.56428
 3  6  0.12951 -1.90203  6.30412 -1.15728  4.22275
 3  7  0.14483 -1.90813  6.24790 -1.18986  3.57926
 3  8  0.11989 -1.93899  6.91814 -1.16117  2.49677
 3  9  0.13143 -1.93514  7.45902 -1.10336  1.41318
 3 10  0.34768 -1.75971  6.81108 -0.95112  2.00393
 3 11  0.42035 -1.69849  6.53753 -0.97451  4.80952
 3 12  0.43310 -1.65813  6.37427 -0.97271  5.07205
 3 13  0.30487 -1.72800  6.63740 -0.99757  5.29796
 3 14  0.26983 -1.76032  6.68569 -1.01331  5.56557
 3 15  0.25979 -1.77868  6.65286 -1.02769  5.66985
 3 16  0.19377 -1.81810  6.82185 -1.04461  5.26948
 3 17  0.12129 -1.87087  6.87122 -1.07457  4.83384
 3 18  0.19650 -1.77067  6.40639 -1.00827  1.15474
 3 19  0.47091 -1.64230  6.17395 -0.94628  3.02254
 3 20  0.55061 -1.62657  6.21164 -0.92642  3.82730
 3 21  0.42073 -1.69470  6.50859 -0.94775  1.99078
 3 22  0.42924 -1.70883  6.59108 -0.95249  2.11069
 3 23  0.42610 -1.72289  6.66792 -0.95815  1.87788
 3 24  0.41366 -1.73740  6.76592 -0.96303  1.70932
 3 25  0.37259 -1.76009  6.88215 -0.98046  1.72294
 3 26  0.33974 -1.77640  6.98150 -1.00034  1.86835
 3 27  0.33877 -1.77817  7.04005 -1.01345  2.14087
 3 28  0.36846 -1.76521  7.06926 -1.00925  2.34984
 3 29  0.32397 -1.76428  7.07437 -1.03012  2.98242
 3 30  0.58776 -1.64244  6.43673 -0.97900  1.80032
 3 31  0.46561 -1.68271  6.85821 -0.99298  2.55779
 3 32  0.38862 -1.70950  6.93335 -1.01445  3.25075
 3 33  0.37277 -1.72063  7.08680 -1.01089  3.97151
 3 34  0.26663 -1.75935  7.22874 -1.03485  3.88972
 3 35  0.16652 -1.80897  7.28712 -1.06564  4.23301
 3 36  0.20739 -1.74363  7.08646 -1.01250  1.84125
 3 37  0.55648 -1.61535  6.82724 -0.92506  1.39052
 3 38  0.66433 -1.59139  6.71006 -0.89963  2.07409
 3 39  0.35278 -1.69979  7.16314 -0.95551  0.65133
 3 40  0.32454 -1.72416  7.26706 -0.95937  0.96220
 3 41  0.27318 -1.75637  7.35203 -0.97465  1.29749
 3 42  0.24056 -1.78119  7.44531 -0.98524  1.70010
 3 43  0.23520 -1.79005  7.51153 -0.99243  2.23307
 3 44  0.26301 -1.77939  7.53406 -0.98524  2.13380
 3 45  0.27943 -1.77319  7.53031 -0.98176  2.21892
 3 46  0.29047 -1.75952  7.48556 -0.98106  2.39960
 3 47  0.28990 -1.74544  7.42294 -0.98207  2.45181
 3 48  0.46261 -1.65765  7.06610 -0.92672  0.92737
 3 49  0.41694 -1.67664  7.18585 -0.94168  1.55572
 3 50  0.38913 -1.68794  7.23948 -0.94899  2.13171
 3 51  0.36795 -1.69722  7.28306 -0.95128  2.75331
 3 52  0.31522 -1.71610  7.34148 -0.96422  3.05126
 3 53  0.25976 -1.73666  7.38533 -0.98157  3.55444
 3 54  0.25505 -1.69952  7.13084 -0.96411  2.42488
 3 55  0.50973 -1.61541  6.89641 -0.91116  1.40889
 3 56  0.28581 -1.70257  7.15390 -0.97136  1.81764
 3 57  0.25916 -1.72322  7.27221 -0.94917  1.89959
 3 58  0.79245 -1.57096  6.63177 -0.88081  1.42654
 3 59  0.78712 -1.57660  6.65465 -0.88600  1.21413
 3 60  0.80952 -1.57668  6.65266 -0.88446  1.27432
 3 61  0.83274 -1.57620  6.64916 -0.88330  1.35614
 3 62  0.85645 -1.57532  6.64532 -0.88227  1.45014
 3 63  0.86576 -1.57632  6.66008 -0.88422  1.43152
 3 64  0.74887 -1.60095  6.76464 -0.89928  2.05147
 3 65  0.88690 -1.57709  6.68372 -0.88724  1.43506
 3 66  0.89051 -1.57809  6.70692 -0.88938  1.43935
 3 67  0.88653 -1.57976  6.73847 -0.89282  1.44494
 3 68  0.87077 -1.58256  6.77853 -0.89844  1.39163
 3 69  0.82421 -1.58868  6.85437 -0.90874  1.15630
 3 70  1.02011 -1.54647  6.61854 -0.88574  1.43078
 3 71  0.47603 -1.66761  7.22159 -0.96600  1.10357
 3 72  0.38638 -1.70268  7.45820 -0.98252  1.43821
 3 73  0.32570 -1.73039  7.57157 -0.99580  1.78034
 3 74  0.27934 -1.75468  7.66491 -1.00791  2.15381
 3 75  0.27050 -1.76179  7.75492 -1.01275  2.82433
 3 76  0.30395 -1.74946  7.76832 -1.00262  2.40375
 3 77  0.31336 -1.74569  7.78516 -0.99916  2.38692
 3 78  0.32455 -1.73182  7.75772 -0.99807  2.53442
 3 79  0.30738 -1.72578  7.73222 -1.00274  2.60804
 3 80  0.41115 -1.66619  7.49821 -0.96702  1.46640
 3 81  0.40254 -1.67250  7.56403 -0.97098  1.38349
 3 82  0.37651 -1.68073  7.61880 -0.97455  1.41017
 3 83  0.36769 -1.68484  7.65794 -0.97527  1.74112
 3 84  0.33580 -1.69550  7.71460 -0.97960  2.01544
 3 85  0.29400 -1.70860  7.76570 -0.98963  2.58872
 3 86  0.26278 -1.68569  7.48950 -0.98917  1.95564
 3 87  0.49652 -1.60918  7.46320 -0.92287  1.54980
 3 88  0.23141 -1.71283  7.66775 -0.98787  1.94880
 3 89  0.23871 -1.71720  7.72275 -0.98283  1.65196
 3 90  0.23171 -1.72723  7.76977 -0.98321  1.68335
 3 91  0.38815 -1.68599  7.61277 -0.96037  2.68330
 3 92  0.41336 -1.68236  7.64990 -0.95268  2.66674
 4  4  0.27666 -1.70545  5.80097 -1.02280  0.71715
 4  5  0.09993 -1.90441  6.22783 -1.13115  1.78472
 4  6  0.12091 -1.91983  6.51431 -1.14836  2.30077
 4  7  0.14303 -1.92917  7.13380 -1.11339  1.73587
 4  8  0.15514 -1.93314  7.46268 -1.08887  1.46243
 4  9  0.18362 -1.91150  7.54002 -1.05049  1.57908
 4 10  0.83668 -1.62975  5.71835 -0.82903  2.56391
 4 11  0.57028 -1.64195  6.18174 -0.95072  5.49563
 4 12  0.45932 -1.62777  6.10278 -0.98113  3.88126
 4 13  0.19574 -1.76994  6.50755 -1.04606  4.65856
 4 14  0.20654 -1.79060  6.70482 -1.03567  4.93240
 4 15  0.16785 -1.83193  6.76580 -1.05620  5.09533
 4 16  0.13355 -1.87014  6.85104 -1.07208  4.56637
 4 17  0.12821 -1.87098  6.84824 -1.06034  3.15877
 4 18  0.34154 -1.68749  6.30691 -0.95333  0.69891
 4 19  0.53391 -1.62274  6.13491 -0.92760  2.02973
 4 20  0.49968 -1.63185  6.04551 -0.94176  2.71838
 4 21  0.43021 -1.69873  6.45700 -0.94649  2.01653
 4 22  0.44837 -1.71395  6.57501 -0.93793  2.07053
 4 23  0.38864 -1.74314  6.72672 -0.96331  2.07652
 4 24  0.34007 -1.76667  6.81342 -0.99209  2.04914
 4 25  0.34652 -1.76908  6.91715 -0.99758  2.63376
 4 26  0.33306 -1.77676  6.98443 -1.01197  2.85341
 4 27  0.33041 -1.77923  7.03892 -1.01875  3.16772
 4 28  0.29963 -1.78949  7.10810 -1.02493  2.51814
 4 29  0.38944 -1.73437  6.94289 -1.00015  2.88770
 4 30  0.67687 -1.62019  6.38035 -0.94467  1.57247
 4 31  0.37100 -1.70426  6.77436 -1.01749  3.29180
 4 32  0.30653 -1.73679  6.95558 -1.03193  3.59035
 4 33  0.25993 -1.76487  7.09394 -1.03934  3.79156
 4 34  0.20191 -1.79961  7.22560 -1.05260  3.98603
 4 35  0.17666 -1.80605  7.23804 -1.05019  3.61382
 4 36  0.25783 -1.70391  6.31004 -1.03614  0.56109
 4 37  0.46916 -1.63137  6.57633 -0.95973  1.52407
 4 38  0.43408 -1.63058  6.60599 -0.94662  1.54543
 4 39  0.36994 -1.69902  7.07963 -0.95209  1.14855
 4 40  0.35019 -1.72155  7.18760 -0.95181  1.62795
 4 41  0.29929 -1.74913  7.28352 -0.96909  1.55576
 4 42  0.27897 -1.76308  7.34115 -0.98047  1.87728
 4 43  0.28865 -1.76268  7.35807 -0.98148  2.38129
 4 44  0.27984 -1.76895  7.40560 -0.98652  2.58754
 4 45  0.26659 -1.77482  7.42842 -0.99061  2.60941
 4 46  0.24132 -1.78235  7.43844 -0.99690  2.48768
 4 47  0.32684 -1.72622  7.24114 -0.96267  1.54572
 4 48  0.48358 -1.64485  6.78115 -0.92581  1.22178
 4 49  0.36348 -1.68840  6.98200 -0.96237  2.33399
 4 50  0.32037 -1.70989  7.10003 -0.97437  2.64234
 4 51  0.30388 -1.72243  7.25475 -0.96912  2.63902
 4 52  0.25033 -1.74889  7.26445 -0.98885  3.18026
 4 53  0.22670 -1.75014  7.23137 -0.99699  3.32771
 4 54  0.39007 -1.64044  6.68869 -0.94806  1.73639
 4 55  0.26089 -1.68709  6.09534 -1.03945  0.80883
 4 56  0.40738 -1.66455  6.99099 -0.94290  0.97462
 4 57  0.31198 -1.70365  7.14723 -0.93750  1.38867
 4 58  0.75966 -1.57597  6.30379 -0.90058  2.45908
 4 59  0.72995 -1.58490  6.35464 -0.90811  2.25514
 4 60  0.71140 -1.59125  6.34792 -0.91751  2.25430
 4 61  0.77408 -1.58631  6.61167 -0.87860  2.01128
 4 62  0.79122 -1.58589  6.59860 -0.87912  2.40208
 4 63  0.81166 -1.58453  6.58784 -0.87861  2.66001
 4 64  0.50077 -1.65270  6.63166 -0.96405  1.31438
 4 65  0.86114 -1.57949  6.57233 -0.87547  2.97711
 4 66  0.87385 -1.57812  6.58262 -0.87669  2.89372
 4 67  0.88327 -1.57665  6.59590 -0.87877  2.70657
 4 68  0.88148 -1.57636  6.62235 -0.88195  2.43739
 4 69  0.85006 -1.57807  6.69518 -0.89045  1.82306
 4 70  0.94924 -1.54244  6.16481 -0.93014  2.50196
 4 71  0.44726 -1.67862  7.12848 -0.96554  1.16287
 4 72  0.41147 -1.70143  7.38455 -0.96717  0.91097
 4 73  0.34988 -1.72546  7.48130 -0.98700  1.61301
 4 74  0.33204 -1.73442  7.54967 -0.99461  2.13330
 4 75  0.33925 -1.73346  7.58114 -0.99428  2.28338
 4 76  0.33409 -1.73621  7.61625 -0.99662  2.53435
 4 77  0.30609 -1.74528  7.66029 -1.00296  2.70174
 4 78  0.27414 -1.75267  7.67558 -1.00975  2.76395
 4 79  0.32032 -1.71916  7.55111 -0.98941  1.80968
 4 80  0.42782 -1.65710  7.30330 -0.95545  1.26489
 4 81  0.29362 -1.70261  6.85847 -1.03144  0.41236
 4 82  0.28158 -1.71149  7.03300 -1.02763  0.69995
 4 83  0.29258 -1.71274  7.36887 -1.00625  2.07047
 4 84  0.26079 -1.72929  7.47817 -1.00902  2.51295
 4 85  0.25644 -1.72096  7.43583 -1.01147  2.78108
 4 86  0.38896 -1.63373  6.89027 -0.98311  1.37396
 4 87  0.46391 -1.60944  6.95260 -0.95681  1.51231
 4 88  0.33517 -1.67286  7.51082 -0.96107  1.10968
 4 89  0.29794 -1.69349  7.54883 -0.97071  1.35334
 4 90  0.27781 -1.70738  7.59871 -0.97469  1.50720
 4 91  0.29613 -1.72417  7.62598 -0.97508  1.89711
 4 92  0.28990 -1.72948  7.65895 -0.97758  2.33476
 5  5  0.10778 -1.93076  6.59229 -1.14059  2.00007
 5  6  0.15376 -1.92122  7.09469 -1.09919  1.67622
 5  7  0.17197 -1.92797  7.46705 -1.07694  1.60087
 5  8  0.19721 -1.92365  7.63266 -1.05123  1.67193
 5  9  0.22320 -1.90322  7.50798 -1.03153  2.05716
 5 10  0.57911 -1.68126  8.82160 -0.85092  1.92787
 5 11  0.42623 -1.70032  6.32575 -0.98919  5.36727
 5 12  0.21355 -1.76592  6.38283 -1.05430  4.65875
 5 13  0.17242 -1.81364  6.61862 -1.06065  4.72733
 5 14  0.17315 -1.83312  6.76351 -1.05538  4.72703
 5 15  0.15335 -1.86198  6.81212 -1.06399  3.82296
 5 16  0.12907 -1.88523  6.88507 -1.06881  3.41834
 5 17  0.13304 -1.87669  6.88331 -1.05632  2.64736
 5 18  0.28627 -1.73836  6.42663 -0.96452  1.18321
 5 19  0.38438 -1.69985  6.37021 -0.95513  1.73128
 5 20  0.37636 -1.71893  6.49596 -0.95736  2.07420
 5 21  0.27339 -1.78874  6.74853 -0.99602  1.92757
 5 22  0.24299 -1.81299  6.92134 -1.01888  2.74150
 5 23  0.24283 -1.81801  6.98515 -1.02509  2.77309
 5 24  0.24503 -1.82061  7.04464 -1.03140  2.99359
 5 25  0.24471 -1.82399  7.09241 -1.03815  3.12826
 5 26  0.25760 -1.82014  7.13008 -1.03595  3.00940
 5 27  0.27259 -1.81397  7.16752 -1.02909  2.82856
 5 28  0.28205 -1.80284  7.09549 -1.03076  2.68810
 5 29  0.34997 -1.75647  6.97203 -1.00685  2.90612
 5 30  0.40542 -1.71110  6.79240 -0.99495  2.92294
 5 31  0.31699 -1.74385  6.94234 -1.02532  3.65866
 5 32  0.26461 -1.77187  7.07084 -1.03506  3.69615
 5 33  0.23531 -1.79224  7.17506 -1.03793  3.63795
 5 34  0.18556 -1.81668  7.23746 -1.05205  3.79208
 5 35  0.17480 -1.81502  7.23386 -1.04529  3.36772
 5 36  0.25816 -1.73331  6.95856 -0.98953  1.29065
 5 37  0.32879 -1.70477  6.96466 -0.96997  0.95851
 5 38  0.33325 -1.71220  7.01319 -0.96465  0.99200
 5 39  0.25529 -1.76668  7.22895 -0.99004  1.89379
 5 40  0.22589 -1.78902  7.31965 -1.00714  2.79476
 5 41  0.22273 -1.79509  7.35223 -1.00944  2.96684
 5 42  0.22015 -1.80031  7.38795 -1.01220  3.13965
 5 43  0.21525 -1.80659  7.41343 -1.01533  3.25153
 5 44  0.21568 -1.80850  7.43900 -1.01306  3.09066
 5 45  0.21137 -1.81205  7.46330 -1.01028  2.71013
 5 46  0.24614 -1.78533  7.37363 -0.99244  2.28602
 5 47  0.31260 -1.73912  7.20301 -0.96512  1.66851
 5 48  0.36370 -1.70136  6.96909 -0.95573  1.70495
 5 49  0.32485 -1.71788  7.06026 -0.97252  2.55578
