# Z1 Z2 a b c d relerr(%)
 2 13  1.13801  0.05724  0.23560  0.09479  1.79204
 2 14  1.16012  0.09649  0.26752  0.04827  1.26853
 2 15  1.96169  0.39362  0.35914 -0.01345  2.07451
 2 16  1.75857  0.91186  0.42579 -0.54958  2.28307
 2 17  1.33569  0.02233  0.14672  0.26812  1.78355
 2 18  1.24253  0.00493 -0.00244  0.23416  1.29622
 2 19  1.31103  0.01179  0.10970  0.21150  2.54661
 2 20  1.10839  0.31542  0.42125 -0.21091  2.35550
 2 21  1.05992  0.27258  0.38579 -0.20119  3.04006
 2 22  1.05816  0.22869  0.35908 -0.15196  2.50549
 2 23  1.13768  0.11548  0.28652  0.02738  1.69418
 2 24  1.24261  0.05182  0.19253  0.17998  1.07487
 2 25  1.27910  0.05847  0.19221  0.19777  0.77152
 2 26  1.25404  0.04759  0.15580  0.24109  0.85226
 2 27  1.26409  0.05070  0.15005  0.25861  0.74930
 2 28  1.21447  0.04556  0.13950  0.26031  0.85493
 2 29  1.31197  0.02209  0.10365  0.33524  1.73353
 2 30  1.45282  0.01427  0.13260  0.40711  2.81251
 2 31  1.30880  0.01002  0.07564  0.33844  2.41565
 2 32  1.13749  0.03228  0.18583  0.20232  2.39548
 2 33  0.98906  0.16501  0.33976 -0.05105  2.65793
 2 34  1.13830  0.03944  0.21226  0.19593  6.85799
 2 35  1.22795  0.01383  0.13742  0.27337  2.92695
 2 36  1.11884  0.00228 -0.03212  0.23200  1.91902
 2 37  1.09074  0.00745  0.10109  0.17554  2.21709
 2 38  1.12260  0.05059  0.31560  0.12420  4.28936
 2 39  1.03525  0.03487  0.22196  0.09654  2.58401
 2 40  1.03116  0.03858  0.20937  0.08491  2.12464
 2 41  1.01962  0.03849  0.18356  0.09885  1.97042
 2 42  1.08070  0.01081  0.03662  0.21745  1.66697
 2 43  1.09527  0.01408  0.05357  0.22398  2.27174
 2 44  1.07507  0.01273  0.03755  0.22622  1.61339
 2 45  1.07302  0.01476  0.05536  0.22327  1.61810
 2 46  1.07311  0.01580  0.06984  0.21621  1.56004
 2 47  1.07366  0.02577  0.17559  0.15467  1.64693
 2 48  1.09827  0.02128  0.18636  0.16921  1.86689
 2 49  1.07996  0.01626  0.14905  0.16447  1.52034
 2 50  1.04286  0.03336  0.21196  0.10812  2.49310
 2 51  0.93108  0.15469  0.35175 -0.10527  2.64869
 2 52  0.86009  0.68993  0.44574 -0.70210  2.88277
 2 53  1.11465  0.02382  0.20591  0.15168  3.10260
 2 54  1.10819  0.00433  0.05449  0.18466  1.82861
 2 55  1.09821  0.00693  0.10573  0.17042  1.32849
 2 56  1.07419  0.01366  0.15920  0.14199  1.57632
 2 57  1.07141  0.00834  0.07339  0.15973  1.90921
 2 58  1.14570  0.00676  0.12152  0.21530  1.18281
 2 59  1.15633  0.00553  0.10102  0.23081  1.07939
 2 60  1.16442  0.00470  0.08395  0.24364  1.01125
 2 61  1.17074  0.00419  0.07179  0.25450  0.96621
 2 62  1.17566  0.00377  0.06045  0.26441  0.93611
 2 63  1.18186  0.00323  0.04585  0.27535  0.90615
 2 64  1.13812  0.01816  0.20793  0.22813  1.34501
 2 65  1.18211  0.00285  0.03195  0.28830  0.91858
 2 66  1.17793  0.00273  0.02704  0.29201  0.96548
 2 67  1.17153  0.00273  0.02625  0.29316  1.01308
 2 68  1.15857  0.00290  0.03076  0.28893  1.09689
 2 69  1.13975  0.00334  0.04197  0.27758  1.21099
 2 70  1.11399  0.00444  0.08079  0.25873  1.36293
 2 71  1.07204  0.01401  0.15352  0.20689  1.90400
 2 72  1.06553  0.01554  0.13439  0.19845  2.67919
 2 73  1.01252  0.01957  0.13628  0.17969  2.36359
 2 74  1.07178  0.00582 -0.00132  0.27919  1.16180
 2 75  1.05711  0.00724  0.01283  0.27344  1.26081
 2 76  1.03717  0.00862  0.02756  0.26215  1.11339
 2 77  1.03163  0.00934  0.03935  0.25413  1.12824
 2 78  1.03255  0.00940  0.05049  0.24615  1.14959
 2 79  1.03859  0.01060  0.11826  0.20869  1.40280
 2 80  1.04389  0.00696  0.10171  0.21423  1.69391
 2 81  1.02702  0.00649  0.08803  0.20011  1.58500
 2 82  1.02972  0.01089  0.12957  0.17812  3.29288
 2 83  0.97204  0.02797  0.22303  0.11870  3.31689
 2 84  0.93822  0.05910  0.29681  0.05808  3.53278
 2 85  1.06416  0.00725  0.11532  0.19484  3.80819
 2 86  1.02983  0.00235  0.02651  0.18928  2.58539
 2 87  0.99452  0.00425  0.09202  0.14949  2.24631
 2 88  0.95572  0.00911  0.14384  0.11379  2.22387
 2 89  0.99156  0.00435  0.04222  0.16600  2.62954
 2 90  0.98222  0.00548  0.05422  0.16069  2.65495
 2 91  1.01015  0.00965  0.11535  0.18178  1.64591
 2 92  1.01289  0.01060  0.12552  0.18052  1.58077
 3  3  1.98453  0.00201 -0.18801  0.56530  3.68938
 3  4  1.61446  0.00321 -0.12111  0.40915  3.37188
 3  5  1.77416  0.00663 -0.10490  0.56941  2.59506
 3  6  1.66459  0.01077 -0.07555  0.60331  1.78202
 3  7  1.88513  0.01699 -0.06008  0.78912  2.48392
 3  8  1.53208  0.01316 -0.08001  0.60746  2.43867
 3  9  1.22348  0.01441 -0.05636  0.38817  2.58631
 3 10  1.21737  0.03020  0.11611  0.22081  1.31956
 3 11  1.46168  0.00490 -0.02939  0.40402  2.02612
 3 12  1.44998  0.00110 -0.11970  0.36943  1.71587
 3 13  1.39335  0.00356 -0.05895  0.35323  1.81792
 3 14  1.39289  0.00523 -0.04829  0.36484  1.63444
 3 15  1.42247  0.00670 -0.04385  0.39283  1.52315
 3 16  1.33726  0.00707 -0.04741  0.34961  1.15364
 3 17  1.27782  0.00585 -0.07126  0.31937  1.04954
 3 18  1.28638  0.01060  0.06308  0.22760  2.37128
