# Z1 Z2 a b c d rms_err(%) max_err(%)
 2  7  1.45018  0.09859  0.15781  0.65069  1.54  3.54
 2  8  1.49556  0.11462  0.15682  0.76147  1.91  4.53
 2 10  0.87862  0.00110 -0.04902  0.25048  4.69  7.46
 2 11  0.89958  0.00866  0.09470  0.23300  3.31  5.71
 2 12  0.89864  0.02317  0.16183  0.18234  2.51  5.08
 2 13  0.91154  0.03401  0.18103  0.17132  2.08  4.50
 2 14  0.92775  0.04415  0.19081  0.17042  1.72  3.45
 2 15  0.95533  0.04963  0.19059  0.18671  1.46  3.33
 2 16  0.98909  0.05590  0.18872  0.21281  1.15  2.87
 2 17  0.96702  0.04382  0.18373  0.19570  1.59  3.24
 2 18  0.95422  0.00002 -0.34233  0.24177  2.31  4.52
 2 19  0.95536  0.00000 -0.58402  0.24620  2.63  5.44
 2 20  1.02450  0.00113 -0.03095  0.29493  1.11  1.77
 2 21  1.06617  0.00475  0.06838  0.33685  0.83  1.97
 2 22  1.07198  0.01128  0.11744  0.34796  0.70  1.72
 2 23  1.06155  0.01866  0.13629  0.34343  0.63  1.42
 2 24  1.06256  0.02265  0.14012  0.35412  0.60  1.20
 2 25  1.06021  0.02894  0.14579  0.35634  0.59  1.21
 2 26  1.05755  0.03103  0.14495  0.36608  0.60  1.27
 2 27  1.04884  0.03236  0.14249  0.37069  0.68  1.40
 2 28  1.04500  0.03112  0.13798  0.38301  0.74  1.51
 2 29  1.02134  0.02081  0.11905  0.37420  1.06  1.90
 2 30  0.97925  0.00959  0.07942  0.35032  1.61  2.82
 2 31  0.99951  0.01025  0.07520  0.35279  2.85  5.06
 2 32  0.96332  0.01350  0.09844  0.31668  2.72  4.59
 2 33  0.90289  0.02040  0.13550  0.26037  1.85  3.44
 2 34  0.91084  0.02409  0.14235  0.25638  2.31  4.70
 2 36  0.89101  0.00029 -0.11541  0.25019  2.37  4.36
 2 37  0.88785  0.00151  0.00996  0.23939  2.25  4.16
 2 38  0.88143  0.00378  0.07579  0.22417  2.21  4.33
 2 39  0.86706  0.01298  0.14322  0.19688  2.23  4.46
 2 40  0.86439  0.01874  0.16232  0.18629  2.24  4.65
 2 41  0.84607  0.02592  0.17489  0.16238  1.88  3.79
 2 42  0.84741  0.03046  0.18177  0.15905  1.87  4.00
 2 43  0.85712  0.03346  0.18258  0.16376  2.20  4.69
 2 44  0.85776  0.03525  0.18452  0.16368  2.13  4.54
 2 45  0.85989  0.03580  0.18421  0.16645  2.10  4.47
 2 46  0.85429  0.03551  0.18580  0.16345  1.72  3.71
 2 47  0.87033  0.02417  0.17482  0.18965  1.78  3.63
 2 48  0.87143  0.01519  0.15427  0.19858  1.62  3.13
 2 49  0.85626  0.01698  0.15856  0.18114  1.62  2.94
 2 50  0.84592  0.01939  0.16688  0.16590  1.67  2.96
 2 51  0.83427  0.02485  0.18302  0.14088  1.77  3.22
 2 52  0.83020  0.02869  0.19189  0.12848  1.83  3.52
 2 53  0.82641  0.02348  0.18782  0.12554  1.82  3.23
 2 54  0.91041  0.00871  0.24494  0.20507  2.73  5.54
 2 55  0.87431  0.00753  0.12934  0.18793  1.77  3.56
 2 56  0.87047  0.00979  0.13935  0.18650  1.68  3.22
 2 57  0.83752  0.02197  0.19760  0.11448  2.05  3.98
 2 58  0.94946  0.00100 -0.00298  0.28462  1.79  3.88
 2 59  0.95394  0.00059 -0.05225  0.29821  1.67  3.53
 2 60  0.96013  0.00026 -0.12040  0.31208  1.63  3.35
 2 61  0.96542  0.00008 -0.22282  0.32449  1.62  3.20
 2 62  0.96652  0.00002 -0.33118  0.33303  1.63  3.06
 2 63  0.96494  0.00001 -0.42339  0.33906  1.64  2.94
 2 64  0.96025  0.00282  0.05332  0.33256  1.50  3.31
 2 65  0.95138  0.00000 -0.78014  0.34203  1.81  2.96
 2 66  0.94927  0.00000 -0.48968  0.34651  1.63  2.52
 2 67  0.94342  0.00002 -0.35501  0.34688  1.53  2.43
 2 68  0.93030  0.00017 -0.17854  0.33917  1.39  2.28
 2 69  0.91287  0.00048 -0.09910  0.32401  1.36  2.20
 2 70  0.88941  0.00098 -0.04342  0.29845  1.52  2.66
 2 71  0.88288  0.00460  0.06051  0.27968  1.28  2.35
 2 72  0.86491  0.00834  0.09839  0.26269  1.30  2.42
 2 73  0.85200  0.01107  0.11477  0.24732  1.37  2.51
 2 74  0.84220  0.01393  0.12812  0.23435  1.45  2.58
 2 75  0.83413  0.01693  0.13952  0.22241  1.53  2.64
 2 76  0.83058  0.01771  0.14265  0.21841  1.55  2.66
 2 77  0.82722  0.01819  0.14490  0.21457  1.56  2.68
 2 78  0.82561  0.01711  0.14327  0.21256  1.53  2.69
 2 79  0.82594  0.01040  0.11969  0.22036  1.54  2.83
 2 80  0.82147  0.00604  0.09078  0.22078  1.75  3.19
 2 81  0.81058  0.00693  0.10110  0.20641  1.74  3.15
 2 82  0.79613  0.00882  0.11952  0.18477  1.87  3.26
 2 83  0.78750  0.01062  0.13315  0.17162  1.95  3.33
 2 84  0.78026  0.01297  0.14780  0.15757  2.02  3.38
 2 85  0.77207  0.01068  0.14314  0.14804  2.06  3.53
 2 86  0.82562  0.01259  0.28107  0.17837  3.26  5.75
 2 87  0.81749  0.00779  0.20944  0.17292  3.10  5.73
 2 88  0.76145  0.00954  0.15071  0.12624  2.25  4.01
 2 89  0.75863  0.01219  0.16558  0.11634  2.17  3.81
 2 90  0.75580  0.01543  0.17999  0.10585  2.17  3.70
 2 91  0.81692  0.01953  0.20651  0.17374  2.45  5.17
 2 92  0.80399  0.05742  0.32122  0.12241  2.58  5.35
 3  3  1.16295  0.05209  0.17461  0.27075  0.85  2.04
 3  8  1.39793  0.00411 -0.02505  0.74420  2.50  5.02
 3  9  1.09466  0.01644  0.08794  0.43847  2.35  4.19
 3 10  0.94619  0.02374  0.14214  0.25508  2.28  4.65
 3 11  0.93714  0.03103  0.16445  0.21570  2.04  4.46
 3 12  0.92854  0.02936  0.16906  0.19158  2.17  4.69
 3 13  0.93309  0.03379  0.17685  0.18449  2.01  4.40
 3 14  0.94128  0.03977  0.18317  0.18411  1.79  3.82
 3 15  0.95764  0.04630  0.18671  0.19190  1.54  3.25
 3 17  1.08140  0.00195  0.00754  0.35415  0.92  2.05
 3 18  0.97598  0.00633  0.08613  0.24463  1.38  2.47
 3 19  0.96552  0.00757  0.09773  0.23290  1.48  2.58
 3 20  0.97190  0.00927  0.10591  0.24177  1.44  2.48
 3 21  0.98494  0.01689  0.13270  0.25401  1.28  2.23
 3 22  1.00269  0.02035  0.13590  0.28040  1.10  1.96
 3 23  1.01059  0.02573  0.14281  0.29314  1.06  1.95
 3 24  1.00577  0.03119  0.14962  0.29292  1.10  2.24
 3 25  1.00912  0.03342  0.14974  0.30581  1.07  2.23
 3 26  1.00739  0.03411  0.14830  0.31673  1.08  2.28
 3 27  1.05442  0.03037  0.13097  0.36738  1.84  3.91
 3 28  1.04496  0.02814  0.12701  0.36847  1.93  4.01
 3 29  1.03156  0.01887  0.10711  0.36577  2.33  4.20
 3 30  0.95956  0.01148  0.09491  0.32386  1.56  2.63
 3 31  0.93740  0.01205  0.10082  0.30243  1.72  2.97
 3 32  0.91911  0.01472  0.11565  0.27986  1.79  3.08
