# SRIM-2013 Electronic stopping power table for Z1=75
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    1.510   1.844   2.362   4.826   5.733   7.344   4.844   3.990   4.523   4.507   8.214   10.07   9.394   8.979   9.821   7.727   2.326   5.515   6.967   7.018   10.79   9.860   10.52   8.154   7.777   8.538   7.795   8.050   7.698   7.254   7.783   10.03   11.58   10.14   3.483   5.094   12.75   12.75   12.94   10.12   15.05   14.16   12.77   9.069   7.901   12.04   11.90   11.06   9.149   15.21   13.45   10.90   14.29   4.157   16.49   16.96   17.45   14.47   12.98   13.56   13.69   12.03   11.61   17.23   13.65   11.53   9.354   9.801   12.51   9.487   11.03   9.526   12.21   11.36   10.08   6.374   7.492   10.29   9.596   7.433   8.607   13.25   12.90   16.63   16.83   16.16   18.71   17.97   12.21   11.79   15.02   12.09   
   11.0    1.584   1.934   2.478   5.061   6.012   7.703   5.081   4.185   4.744   4.727   8.614   10.56   9.852   9.417   10.30   8.104   2.440   5.784   7.307   7.361   11.31   10.34   11.03   8.552   8.156   8.955   8.176   8.443   8.073   7.608   8.163   10.51   12.15   10.64   3.653   5.343   13.37   13.38   13.57   10.61   15.78   14.85   13.40   9.512   8.287   12.63   12.48   11.60   9.596   15.96   14.10   11.43   14.99   4.360   17.30   17.79   18.30   15.17   13.62   14.22   14.36   12.61   12.18   18.07   14.31   12.09   9.811   10.28   13.12   9.950   11.57   9.991   12.81   11.92   10.57   6.685   7.857   10.80   10.06   7.796   9.027   13.90   13.53   17.44   17.66   16.95   19.63   18.85   12.80   12.37   15.75   12.68   
   12.0    1.654   2.020   2.588   5.286   6.280   8.045   5.307   4.371   4.955   4.937   8.997   11.03   10.29   9.836   10.76   8.464   2.548   6.041   7.632   7.688   11.82   10.80   11.52   8.932   8.519   9.353   8.539   8.818   8.432   7.946   8.525   10.98   12.69   11.11   3.815   5.580   13.96   13.97   14.18   11.08   16.48   15.51   13.99   9.935   8.655   13.19   13.03   12.11   10.02   16.66   14.73   11.94   15.65   4.553   18.07   18.58   19.11   15.85   14.22   14.85   15.00   13.17   12.72   18.87   14.95   12.63   10.25   10.74   13.70   10.39   12.08   10.44   13.38   12.45   11.04   6.982   8.207   11.28   10.51   8.143   9.429   14.52   14.14   18.21   18.44   17.70   20.50   19.69   13.37   12.92   16.45   13.24   
   13.0    1.722   2.102   2.694   5.502   6.536   8.374   5.523   4.550   5.157   5.139   9.365   11.48   10.71   10.24   11.20   8.810   2.652   6.288   7.944   8.002   12.30   11.24   11.99   9.297   8.867   9.735   8.888   9.178   8.777   8.270   8.874   11.43   13.20   11.56   3.971   5.808   14.53   14.54   14.76   11.54   17.15   16.15   14.56   10.34   9.009   13.73   13.56   12.61   10.43   17.35   15.33   12.42   16.29   4.739   18.81   19.34   19.89   16.50   14.80   15.46   15.61   13.71   13.24   19.64   15.56   13.14   10.67   11.18   14.26   10.82   12.58   10.86   13.92   12.96   11.50   7.267   8.542   11.74   10.94   8.475   9.814   15.11   14.71   18.96   19.19   18.43   21.34   20.49   13.92   13.44   17.12   13.78   
   14.0    1.787   2.182   2.795   5.710   6.783   8.690   5.732   4.721   5.352   5.333   9.718   11.91   11.12   10.62   11.62   9.142   2.753   6.525   8.244   8.304   12.76   11.67   12.45   9.648   9.201   10.10   9.224   9.524   9.108   8.583   9.209   11.86   13.70   12.00   4.121   6.027   15.08   15.09   15.31   11.97   17.80   16.75   15.11   10.73   9.349   14.24   14.07   13.08   10.83   18.00   15.91   12.89   16.91   4.918   19.52   20.07   20.64   17.12   15.36   16.04   16.20   14.23   13.74   20.38   16.15   13.64   11.07   11.60   14.80   11.22   13.05   11.27   14.45   13.45   11.93   7.541   8.864   12.18   11.35   8.795   10.18   15.68   15.27   19.67   19.92   19.12   22.14   21.26   14.44   13.95   17.77   14.30   
   15.0    1.850   2.258   2.893   5.910   7.021   8.995   5.933   4.887   5.540   5.520   10.06   12.33   11.51   11.00   12.03   9.463   2.849   6.754   8.533   8.596   13.21   12.08   12.88   9.986   9.524   10.46   9.547   9.859   9.428   8.884   9.532   12.28   14.18   12.42   4.265   6.239   15.61   15.62   15.85   12.39   18.43   17.34   15.64   11.11   9.677   14.74   14.57   13.54   11.21   18.63   16.47   13.35   17.50   5.091   20.20   20.77   21.37   17.72   15.90   16.61   16.77   14.73   14.22   21.10   16.71   14.12   11.46   12.00   15.32   11.62   13.51   11.67   14.95   13.92   12.35   7.806   9.175   12.61   11.75   9.104   10.54   16.23   15.80   20.36   20.62   19.79   22.92   22.01   14.95   14.44   18.39   14.80   
   16.0    1.910   2.332   2.988   6.104   7.251   9.290   6.127   5.047   5.721   5.701   10.39   12.73   11.88   11.36   12.42   9.773   2.943   6.976   8.813   8.878   13.64   12.47   13.31   10.31   9.837   10.80   9.860   10.18   9.737   9.175   9.844   12.68   14.65   12.83   4.405   6.444   16.12   16.13   16.37   12.80   19.03   17.91   16.16   11.47   9.994   15.23   15.05   13.99   11.57   19.24   17.01   13.78   18.07   5.258   20.86   21.46   22.07   18.30   16.42   17.15   17.32   15.21   14.69   21.79   17.26   14.58   11.83   12.40   15.82   12.00   13.95   12.05   15.44   14.37   12.75   8.062   9.476   13.02   12.14   9.402   10.89   16.76   16.32   21.03   21.29   20.44   23.67   22.73   15.44   14.91   19.00   15.29   
   17.0    1.969   2.404   3.080   6.292   7.474   9.576   6.316   5.203   5.897   5.877   10.71   13.13   12.25   11.71   12.81   10.07   3.033   7.190   9.084   9.151   14.06   12.86   13.72   10.63   10.14   11.13   10.16   10.50   10.04   9.458   10.15   13.07   15.10   13.22   4.541   6.642   16.62   16.63   16.88   13.19   19.62   18.46   16.65   11.83   10.30   15.70   15.51   14.42   11.93   19.83   17.53   14.21   18.63   5.420   21.51   22.12   22.75   18.86   16.93   17.68   17.85   15.68   15.14   22.46   17.79   15.03   12.20   12.78   16.31   12.37   14.38   12.42   15.92   14.82   13.15   8.310   9.768   13.42   12.51   9.692   11.22   17.28   16.83   21.68   21.95   21.07   24.40   23.43   15.91   15.37   19.58   15.76   
   18.0    2.026   2.474   3.169   6.475   7.691   9.853   6.499   5.353   6.068   6.047   11.02   13.51   12.60   12.05   13.18   10.37   3.121   7.399   9.348   9.416   14.47   13.23   14.11   10.94   10.43   11.45   10.46   10.80   10.33   9.732   10.44   13.45   15.54   13.61   4.672   6.834   17.10   17.11   17.36   13.57   20.19   19.00   17.14   12.17   10.60   16.15   15.96   14.83   12.27   20.41   18.04   14.62   19.17   5.577   22.13   22.76   23.41   19.41   17.42   18.19   18.37   16.14   15.58   23.11   18.31   15.46   12.55   13.15   16.78   12.73   14.80   12.78   16.38   15.25   13.53   8.551   10.05   13.81   12.87   9.973   11.55   17.78   17.31   22.31   22.59   21.68   25.11   24.11   16.38   15.82   20.15   16.22   
