# SRIM-2013 Electronic stopping power table for Z1=74
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    1.440   1.755   2.249   4.594   5.455   6.991   4.611   3.798   4.306   4.290   7.818   9.582   8.942   8.547   9.349   7.355   2.214   5.249   6.632   6.681   10.27   9.386   10.01   7.762   7.403   8.127   7.420   7.662   7.327   6.905   7.408   9.543   11.02   9.655   3.315   4.849   12.13   12.14   12.32   9.630   14.32   13.48   12.16   8.633   7.521   11.46   11.32   10.53   8.709   14.48   12.80   10.37   13.60   3.957   15.70   16.15   16.61   13.77   12.38   12.91   13.03   11.45   11.05   16.40   12.99   10.97   8.904   9.330   11.91   9.030   10.50   9.068   11.62   10.81   9.597   6.067   7.131   9.798   9.135   7.076   8.193   12.61   12.28   15.83   16.02   15.38   17.81   17.11   11.62   11.22   14.30   11.51   
   11.0    1.510   1.840   2.358   4.818   5.722   7.332   4.836   3.984   4.516   4.500   8.200   10.05   9.378   8.964   9.805   7.714   2.322   5.506   6.956   7.007   10.77   9.844   10.50   8.140   7.764   8.524   7.783   8.036   7.685   7.242   7.770   10.01   11.56   10.13   3.477   5.086   12.73   12.73   12.92   10.10   15.02   14.14   12.75   9.054   7.888   12.02   11.88   11.04   9.134   15.19   13.42   10.88   14.26   4.150   16.47   16.93   17.42   14.44   12.99   13.54   13.67   12.01   11.59   17.20   13.62   11.51   9.339   9.785   12.49   9.471   11.01   9.511   12.19   11.34   10.07   6.363   7.479   10.28   9.580   7.421   8.593   13.23   12.88   16.60   16.81   16.13   18.68   17.94   12.19   11.77   14.99   12.07   
   12.0    1.578   1.922   2.463   5.032   5.976   7.658   5.051   4.161   4.717   4.700   8.565   10.50   9.795   9.363   10.24   8.057   2.426   5.750   7.265   7.318   11.25   10.28   10.97   8.502   8.109   8.903   8.129   8.394   8.027   7.564   8.115   10.45   12.08   10.58   3.631   5.312   13.29   13.30   13.50   10.55   15.69   14.77   13.32   9.457   8.239   12.55   12.40   11.53   9.540   15.86   14.02   11.36   14.89   4.334   17.20   17.69   18.19   15.09   13.56   14.14   14.28   12.54   12.11   17.96   14.23   12.02   9.754   10.22   13.04   9.892   11.50   9.934   12.73   11.85   10.51   6.646   7.812   10.73   10.01   7.751   8.975   13.82   13.46   17.34   17.55   16.85   19.51   18.74   12.73   12.29   15.66   12.60   
   13.0    1.642   2.001   2.564   5.238   6.220   7.971   5.257   4.331   4.909   4.892   8.914   10.93   10.20   9.745   10.66   8.386   2.525   5.985   7.562   7.617   11.71   10.70   11.42   8.850   8.440   9.266   8.461   8.737   8.355   7.873   8.447   10.88   12.57   11.01   3.780   5.529   13.84   13.84   14.05   10.98   16.33   15.37   13.86   9.843   8.575   13.07   12.91   12.00   9.930   16.51   14.59   11.83   15.50   4.511   17.90   18.41   18.94   15.70   14.12   14.72   14.86   13.05   12.60   18.70   14.81   12.51   10.15   10.64   13.58   10.30   11.97   10.34   13.25   12.33   10.94   6.917   8.131   11.17   10.42   8.067   9.342   14.38   14.01   18.05   18.27   17.54   20.31   19.50   13.25   12.80   16.30   13.12   
   14.0    1.704   2.076   2.661   5.435   6.455   8.272   5.456   4.494   5.094   5.076   9.251   11.34   10.58   10.11   11.06   8.702   2.620   6.211   7.847   7.905   12.15   11.11   11.85   9.184   8.759   9.616   8.780   9.066   8.670   8.170   8.766   11.29   13.04   11.42   3.922   5.737   14.36   14.37   14.58   11.39   16.95   15.95   14.39   10.21   8.899   13.56   13.40   12.45   10.30   17.13   15.14   12.27   16.09   4.682   18.58   19.10   19.65   16.29   14.65   15.27   15.42   13.55   13.08   19.40   15.37   12.98   10.54   11.04   14.09   10.68   12.42   10.73   13.75   12.80   11.36   7.179   8.438   11.59   10.81   8.372   9.694   14.93   14.53   18.73   18.96   18.20   21.08   20.24   13.75   13.28   16.92   13.61   
   15.0    1.764   2.149   2.754   5.626   6.681   8.562   5.647   4.652   5.273   5.255   9.576   11.74   10.95   10.47   11.45   9.008   2.712   6.429   8.123   8.182   12.58   11.50   12.26   9.506   9.066   9.954   9.088   9.385   8.974   8.457   9.073   11.69   13.50   11.82   4.060   5.939   14.86   14.87   15.09   11.79   17.54   16.51   14.89   10.57   9.211   14.03   13.87   12.89   10.67   17.74   15.68   12.70   16.65   4.846   19.23   19.78   20.34   16.87   15.16   15.81   15.96   14.02   13.54   20.08   15.91   13.44   10.91   11.43   14.58   11.06   12.86   11.11   14.23   13.24   11.75   7.431   8.734   12.00   11.19   8.666   10.03   15.45   15.04   19.38   19.63   18.84   21.82   20.95   14.23   13.75   17.51   14.09   
   16.0    1.822   2.219   2.844   5.811   6.900   8.843   5.833   4.804   5.446   5.427   9.890   12.12   11.31   10.81   11.83   9.303   2.801   6.640   8.389   8.451   12.99   11.87   12.67   9.818   9.364   10.28   9.386   9.692   9.268   8.734   9.371   12.07   13.94   12.21   4.193   6.134   15.35   15.36   15.58   12.18   18.12   17.05   15.38   10.92   9.513   14.50   14.32   13.31   11.02   18.32   16.19   13.12   17.20   5.005   19.86   20.42   21.01   17.42   15.66   16.33   16.48   14.48   13.98   20.74   16.43   13.88   11.26   11.80   15.06   11.42   13.28   11.47   14.70   13.68   12.14   7.674   9.021   12.39   11.55   8.950   10.36   15.96   15.54   20.02   20.27   19.46   22.53   21.64   14.70   14.20   18.08   14.55   
   17.0    1.878   2.288   2.932   5.989   7.113   9.115   6.012   4.952   5.614   5.594   10.19   12.49   11.66   11.14   12.19   9.590   2.887   6.844   8.647   8.711   13.39   12.24   13.06   10.12   9.652   10.60   9.675   9.991   9.554   9.003   9.659   12.44   14.37   12.59   4.322   6.322   15.82   15.83   16.06   12.56   18.67   17.57   15.85   11.26   9.806   14.94   14.76   13.72   11.35   18.88   16.69   13.52   17.73   5.159   20.47   21.05   21.65   17.96   16.14   16.83   16.99   14.93   14.41   21.38   16.94   14.31   11.61   12.16   15.53   11.77   13.69   11.82   15.15   14.10   12.51   7.910   9.298   12.77   11.91   9.225   10.68   16.45   16.02   20.64   20.89   20.06   23.23   22.30   15.15   14.63   18.64   15.00   
   18.0    1.932   2.354   3.017   6.163   7.319   9.379   6.186   5.096   5.777   5.756   10.49   12.86   12.00   11.47   12.54   9.868   2.971   7.043   8.898   8.963   13.78   12.59   13.43   10.41   9.932   10.90   9.955   10.28   9.831   9.264   9.939   12.80   14.79   12.95   4.448   6.506   16.28   16.29   16.53   12.92   19.21   18.08   16.31   11.58   10.09   15.37   15.19   14.12   11.68   19.43   17.17   13.92   18.24   5.308   21.07   21.66   22.28   18.48   16.61   17.32   17.48   15.36   14.83   22.00   17.43   14.72   11.95   12.52   15.98   12.12   14.09   12.17   15.59   14.51   12.88   8.140   9.568   13.14   12.26   9.493   10.99   16.92   16.48   21.23   21.50   20.64   23.90   22.95   15.59   15.06   19.18   15.44   
   20.0    2.037   2.481   3.180   6.496   7.715   9.886   6.521   5.372   6.089   6.067   11.06   13.55   12.65   12.09   13.22   10.40   3.132   7.424   9.379   9.448   14.52   13.27   14.16   10.98   10.47   11.49   10.49   10.84   10.36   9.765   10.48   13.50   15.59   13.65   4.688   6.858   17.16   17.17   17.42   13.62   20.25   19.06   17.19   12.21   10.64   16.21   16.01   14.88   12.32   20.48   18.10   14.67   19.23   5.596   22.20   22.83   23.49   19.48   17.51   18.25   18.43   16.19   15.63   23.19   18.37   15.52   12.59   13.19   16.84   12.77   14.85   12.82   16.44   15.29   13.57   8.580   10.09   13.86   12.92   10.01   11.59   17.84   17.37   22.38   22.66   21.76   25.19   24.19   16.43   15.87   20.22   16.27   
   22.0    2.160   2.632   3.373   6.890   8.183   10.49   6.917   5.697   6.458   6.436   11.73   14.37   13.41   12.82   14.02   11.03   3.322   7.874   9.948   10.02   15.40   14.08   15.02   11.64   11.10   12.19   11.13   11.49   10.99   10.36   11.11   14.31   16.54   14.48   4.973   7.273   18.20   18.21   18.48   14.45   21.48   20.22   18.24   12.95   11.28   17.19   16.98   15.79   13.06   21.72   19.20   15.56   20.40   5.935   23.55   24.22   24.91   20.66   18.57   19.36   19.55   17.17   16.58   24.60   19.48   16.46   13.36   13.99   17.86   13.55   15.75   13.60   17.43   16.22   14.40   9.101   10.70   14.70   13.70   10.61   12.29   18.92   18.43   23.74   24.04   23.08   26.72   25.66   17.43   16.84   21.44   17.26   
