# SRIM-2013 Electronic stopping power table for Z1=72
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    1.412   1.727   2.213   4.521   5.371   6.881   4.539   3.739   4.238   4.223   7.695   9.432   8.801   8.412   9.202   7.239   2.180   5.167   6.528   6.576   10.11   9.238   9.856   7.639   7.286   7.999   7.304   7.542   7.212   6.796   7.292   9.393   10.85   9.503   3.263   4.773   11.94   11.95   12.13   9.479   14.10   13.27   11.97   8.497   7.403   11.28   11.15   10.36   8.572   14.25   12.60   10.21   13.39   3.894   15.45   15.89   16.35   13.55   12.14   12.70   12.83   11.27   10.88   16.14   12.78   10.80   8.764   9.183   11.72   8.888   10.34   8.925   11.44   10.65   9.446   5.972   7.019   9.643   8.991   6.964   8.064   12.42   12.09   15.58   15.77   15.14   17.53   16.84   11.44   11.05   14.07   11.32   
   11.0    1.481   1.812   2.321   4.742   5.633   7.217   4.760   3.921   4.445   4.429   8.071   9.892   9.231   8.823   9.651   7.593   2.286   5.419   6.846   6.897   10.60   9.689   10.34   8.012   7.642   8.390   7.660   7.910   7.564   7.128   7.648   9.852   11.38   9.967   3.422   5.006   12.53   12.53   12.72   9.942   14.78   13.91   12.55   8.912   7.764   11.83   11.69   10.87   8.990   14.95   13.21   10.71   14.04   4.085   16.21   16.67   17.15   14.22   12.73   13.32   13.45   11.82   11.41   16.93   13.41   11.33   9.192   9.631   12.29   9.322   10.84   9.361   12.00   11.17   9.907   6.263   7.362   10.11   9.430   7.304   8.458   13.02   12.68   16.34   16.54   15.88   18.39   17.66   11.99   11.59   14.76   11.88   
   12.0    1.547   1.892   2.425   4.953   5.884   7.538   4.972   4.095   4.642   4.626   8.430   10.33   9.641   9.215   10.08   7.930   2.388   5.660   7.151   7.203   11.07   10.12   10.80   8.369   7.982   8.763   8.001   8.262   7.900   7.445   7.988   10.29   11.89   10.41   3.574   5.228   13.08   13.09   13.28   10.38   15.44   14.53   13.11   9.308   8.109   12.36   12.21   11.35   9.390   15.61   13.80   11.18   14.66   4.266   16.93   17.41   17.91   14.85   13.30   13.92   14.05   12.34   11.92   17.68   14.00   11.83   9.601   10.06   12.84   9.737   11.32   9.777   12.53   11.66   10.35   6.542   7.689   10.56   9.849   7.629   8.834   13.60   13.24   17.07   17.28   16.59   19.21   18.44   12.53   12.10   15.41   12.41   
   13.0    1.610   1.970   2.524   5.155   6.124   7.845   5.175   4.263   4.832   4.815   8.774   10.75   10.04   9.592   10.49   8.254   2.485   5.891   7.443   7.497   11.52   10.53   11.24   8.710   8.307   9.121   8.327   8.599   8.223   7.749   8.314   10.71   12.37   10.84   3.720   5.442   13.62   13.63   13.83   10.81   16.07   15.13   13.64   9.688   8.440   12.86   12.71   11.81   9.773   16.25   14.36   11.64   15.26   4.440   17.62   18.12   18.64   15.46   13.84   14.48   14.62   12.85   12.40   18.40   14.58   12.31   9.993   10.47   13.36   10.13   11.78   10.18   13.04   12.14   10.77   6.809   8.003   11.00   10.25   7.940   9.195   14.16   13.79   17.76   17.98   17.26   19.99   19.20   13.04   12.60   16.04   12.91   
   14.0    1.671   2.044   2.619   5.350   6.355   8.142   5.370   4.423   5.014   4.997   9.105   11.16   10.41   9.954   10.89   8.566   2.579   6.113   7.724   7.780   11.96   10.93   11.66   9.039   8.621   9.465   8.642   8.924   8.533   8.041   8.628   11.11   12.84   11.24   3.861   5.647   14.13   14.14   14.35   11.22   16.68   15.70   14.16   10.05   8.759   13.35   13.19   12.26   10.14   16.86   14.91   12.08   15.84   4.608   18.29   18.80   19.34   16.04   14.37   15.03   15.18   13.33   12.87   19.10   15.13   12.78   10.37   10.87   13.87   10.52   12.23   10.56   13.54   12.60   11.18   7.066   8.305   11.41   10.64   8.240   9.542   14.69   14.31   18.43   18.66   17.92   20.74   19.92   13.53   13.07   16.65   13.40   
   15.0    1.729   2.116   2.711   5.538   6.578   8.427   5.559   4.579   5.190   5.172   9.425   11.55   10.78   10.30   11.27   8.866   2.669   6.328   7.995   8.054   12.38   11.31   12.07   9.356   8.924   9.797   8.945   9.237   8.833   8.324   8.931   11.50   13.29   11.64   3.996   5.845   14.63   14.64   14.85   11.61   17.26   16.25   14.66   10.41   9.066   13.81   13.65   12.69   10.50   17.46   15.43   12.50   16.40   4.770   18.93   19.46   20.02   16.60   14.87   15.56   15.71   13.80   13.32   19.77   15.66   13.23   10.73   11.25   14.35   10.89   12.66   10.93   14.01   13.04   11.57   7.314   8.597   11.81   11.01   8.529   9.877   15.21   14.81   19.08   19.32   18.54   21.47   20.62   14.01   13.53   17.23   13.87   
   16.0    1.786   2.185   2.800   5.719   6.794   8.704   5.741   4.729   5.360   5.342   9.734   11.93   11.13   10.64   11.64   9.157   2.757   6.535   8.257   8.318   12.78   11.69   12.47   9.663   9.216   10.12   9.238   9.540   9.123   8.597   9.223   11.88   13.73   12.02   4.127   6.037   15.11   15.12   15.34   11.99   17.83   16.78   15.14   10.75   9.364   14.27   14.10   13.10   10.84   18.03   15.94   12.91   16.93   4.926   19.55   20.10   20.68   17.15   15.36   16.07   16.22   14.25   13.76   20.42   16.17   13.66   11.09   11.62   14.82   11.24   13.07   11.29   14.47   13.47   11.95   7.553   8.879   12.20   11.37   8.809   10.20   15.70   15.29   19.71   19.95   19.15   22.18   21.30   14.47   13.97   17.80   14.33   
   17.0    1.841   2.252   2.886   5.895   7.003   8.972   5.918   4.874   5.525   5.506   10.03   12.30   11.48   10.97   12.00   9.439   2.842   6.737   8.511   8.574   13.18   12.04   12.85   9.961   9.500   10.43   9.523   9.833   9.403   8.861   9.507   12.25   14.15   12.39   4.254   6.223   15.57   15.58   15.81   12.36   18.38   17.30   15.60   11.08   9.652   14.71   14.53   13.51   11.18   18.58   16.43   13.31   17.45   5.078   20.15   20.72   21.31   17.67   15.83   16.56   16.72   14.69   14.18   21.05   16.67   14.08   11.43   11.97   15.28   11.59   13.48   11.64   14.92   13.88   12.32   7.786   9.152   12.57   11.72   9.080   10.51   16.19   15.76   20.31   20.57   19.74   22.86   21.95   14.91   14.40   18.35   14.77   
   18.0    1.894   2.318   2.970   6.066   7.206   9.232   6.089   5.016   5.686   5.666   10.32   12.65   11.81   11.29   12.35   9.712   2.924   6.932   8.758   8.822   13.56   12.39   13.22   10.25   9.775   10.73   9.799   10.12   9.676   9.118   9.783   12.60   14.56   12.75   4.378   6.403   16.02   16.03   16.27   12.72   18.91   17.80   16.06   11.40   9.932   15.13   14.95   13.90   11.50   19.12   16.90   13.70   17.96   5.225   20.73   21.32   21.93   18.19   16.29   17.04   17.21   15.12   14.60   21.66   17.15   14.49   11.76   12.32   15.72   11.93   13.87   11.97   15.35   14.28   12.67   8.012   9.417   12.94   12.06   9.343   10.82   16.66   16.22   20.90   21.16   20.31   23.52   22.59   15.34   14.82   18.88   15.19   
