# SRIM-2013 Electronic stopping power table for Z1=47
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    1.048   1.271   1.628   3.326   3.951   5.062   3.339   2.750   3.117   3.106   5.661   6.938   6.474   6.188   6.769   5.325   1.603   3.801   4.802   4.837   7.435   6.796   7.250   5.620   5.360   5.885   5.373   5.548   5.305   4.999   5.364   6.910   7.982   6.991   2.400   3.511   8.786   8.791   8.920   6.973   10.37   9.803   8.803   6.251   5.446   8.297   8.236   7.621   6.306   10.48   9.267   7.511   9.848   2.865   11.37   11.69   12.03   9.971   9.008   9.345   9.436   8.289   8.003   11.87   9.404   7.944   6.447   6.755   8.621   6.538   7.603   6.566   8.415   7.832   6.949   4.393   5.163   7.094   6.614   5.123   5.932   9.133   8.894   11.46   11.60   11.14   12.90   12.39   8.412   8.126   10.35   8.331   
   11.0    1.099   1.333   1.708   3.488   4.144   5.309   3.502   2.884   3.270   3.258   5.937   7.277   6.790   6.490   7.099   5.585   1.682   3.986   5.036   5.073   7.797   7.127   7.604   5.894   5.621   6.172   5.635   5.819   5.564   5.243   5.626   7.247   8.372   7.332   2.517   3.682   9.215   9.220   9.356   7.313   10.88   10.28   9.233   6.556   5.711   8.702   8.637   7.993   6.613   11.00   9.720   7.877   10.33   3.005   11.92   12.26   12.61   10.46   9.447   9.801   9.896   8.694   8.394   12.45   9.863   8.332   6.762   7.085   9.042   6.858   7.974   6.886   8.826   8.214   7.288   4.607   5.415   7.440   6.937   5.373   6.222   9.579   9.328   12.02   12.17   11.68   13.53   12.99   8.823   8.523   10.86   8.737   
   12.0    1.148   1.392   1.784   3.643   4.328   5.545   3.657   3.013   3.415   3.403   6.201   7.600   7.092   6.779   7.415   5.834   1.756   4.164   5.260   5.299   8.144   7.444   7.942   6.156   5.871   6.446   5.885   6.077   5.812   5.477   5.876   7.569   8.744   7.658   2.629   3.846   9.624   9.630   9.772   7.638   11.36   10.74   9.644   6.847   5.965   9.089   9.022   8.348   6.907   11.49   10.15   8.227   10.79   3.138   12.45   12.81   13.17   10.92   9.867   10.24   10.34   9.080   8.767   13.01   10.30   8.702   7.062   7.400   9.444   7.163   8.329   7.192   9.219   8.580   7.612   4.812   5.656   7.771   7.245   5.612   6.499   10.00   9.743   12.55   12.71   12.20   14.13   13.57   9.215   8.902   11.34   9.126   
   13.0    1.195   1.449   1.856   3.792   4.505   5.771   3.807   3.136   3.554   3.542   6.454   7.911   7.382   7.056   7.718   6.072   1.828   4.334   5.475   5.515   8.477   7.748   8.267   6.407   6.111   6.709   6.126   6.326   6.049   5.700   6.116   7.878   9.101   7.971   2.737   4.003   10.02   10.02   10.17   7.950   11.82   11.18   10.04   7.127   6.209   9.460   9.390   8.689   7.190   11.95   10.57   8.563   11.23   3.266   12.96   13.33   13.71   11.37   10.27   10.66   10.76   9.451   9.125   13.54   10.72   9.058   7.351   7.702   9.830   7.455   8.669   7.486   9.595   8.930   7.923   5.009   5.887   8.088   7.541   5.841   6.764   10.41   10.14   13.07   13.23   12.70   14.71   14.12   9.592   9.266   11.80   9.499   
   14.0    1.240   1.504   1.926   3.935   4.675   5.989   3.950   3.254   3.689   3.676   6.698   8.209   7.661   7.322   8.009   6.301   1.897   4.497   5.682   5.723   8.797   8.041   8.579   6.649   6.342   6.963   6.357   6.564   6.277   5.915   6.347   8.176   9.445   8.272   2.840   4.154   10.40   10.40   10.55   8.250   12.27   11.60   10.42   7.396   6.443   9.817   9.744   9.017   7.461   12.41   10.97   8.887   11.65   3.390   13.45   13.83   14.23   11.80   10.66   11.06   11.16   9.808   9.469   14.05   11.13   9.400   7.628   7.993   10.20   7.736   8.996   7.769   9.957   9.267   8.222   5.198   6.109   8.394   7.826   6.062   7.019   10.81   10.52   13.56   13.73   13.18   15.26   14.65   9.954   9.615   12.25   9.857   
   15.0    1.283   1.556   1.994   4.074   4.839   6.199   4.089   3.368   3.818   3.805   6.933   8.497   7.930   7.579   8.290   6.522   1.964   4.655   5.881   5.924   9.105   8.323   8.880   6.883   6.564   7.207   6.580   6.795   6.498   6.123   6.569   8.463   9.776   8.562   2.940   4.300   10.76   10.77   10.93   8.540   12.70   12.01   10.78   7.656   6.669   10.16   10.09   9.333   7.723   12.84   11.35   9.199   12.06   3.509   13.92   14.32   14.73   12.21   11.03   11.45   11.56   10.15   9.802   14.54   11.52   9.730   7.896   8.273   10.56   8.008   9.312   8.041   10.31   9.592   8.511   5.380   6.324   8.688   8.100   6.274   7.266   11.19   10.89   14.04   14.21   13.64   15.80   15.17   10.30   9.953   12.68   10.20   
   16.0    1.325   1.607   2.060   4.207   4.998   6.403   4.223   3.479   3.943   3.929   7.161   8.776   8.190   7.828   8.562   6.736   2.028   4.808   6.074   6.119   9.404   8.596   9.171   7.108   6.780   7.443   6.796   7.018   6.711   6.324   6.785   8.740   10.10   8.843   3.036   4.441   11.11   11.12   11.28   8.820   13.12   12.40   11.14   7.907   6.888   10.50   10.42   9.640   7.976   13.26   11.72   9.500   12.46   3.624   14.38   14.79   15.21   12.61   11.39   11.82   11.94   10.48   10.12   15.02   11.90   10.05   8.155   8.545   10.91   8.271   9.617   8.305   10.64   9.907   8.790   5.556   6.531   8.973   8.366   6.480   7.504   11.55   11.25   14.50   14.68   14.09   16.31   15.67   10.64   10.28   13.09   10.54   
   17.0    1.366   1.657   2.123   4.337   5.151   6.600   4.353   3.586   4.065   4.050   7.381   9.046   8.442   8.069   8.826   6.943   2.091   4.956   6.261   6.307   9.693   8.861   9.453   7.327   6.988   7.672   7.005   7.234   6.917   6.518   6.994   9.009   10.41   9.115   3.130   4.578   11.46   11.46   11.63   9.091   13.52   12.78   11.48   8.150   7.100   10.82   10.74   9.936   8.222   13.67   12.08   9.793   12.84   3.735   14.82   15.24   15.68   13.00   11.74   12.18   12.30   10.81   10.43   15.48   12.26   10.36   8.406   8.808   11.24   8.525   9.913   8.561   10.97   10.21   9.060   5.728   6.732   9.249   8.623   6.680   7.735   11.91   11.60   14.94   15.13   14.52   16.82   16.15   10.97   10.60   13.50   10.86   
   18.0    1.406   1.705   2.184   4.462   5.301   6.791   4.479   3.690   4.182   4.168   7.595   9.308   8.686   8.303   9.081   7.145   2.151   5.099   6.443   6.490   9.974   9.117   9.728   7.540   7.191   7.895   7.208   7.443   7.118   6.707   7.196   9.270   10.71   9.379   3.220   4.710   11.79   11.79   11.97   9.355   13.91   13.15   11.81   8.386   7.306   11.13   11.05   10.22   8.460   14.07   12.43   10.08   13.21   3.844   15.25   15.68   16.13   13.38   12.09   12.54   12.66   11.12   10.74   15.93   12.62   10.66   8.650   9.063   11.57   8.772   10.20   8.809   11.29   10.51   9.323   5.894   6.927   9.517   8.873   6.873   7.959   12.25   11.93   15.38   15.57   14.94   17.30   16.62   11.29   10.90   13.89   11.18   
   20.0    1.482   1.797   2.303   4.704   5.588   7.158   4.722   3.889   4.409   4.393   8.006   9.812   9.156   8.752   9.573   7.531   2.267   5.375   6.791   6.841   10.51   9.611   10.25   7.948   7.580   8.322   7.598   7.846   7.503   7.070   7.586   9.772   11.29   9.886   3.394   4.965   12.42   12.43   12.62   9.861   14.66   13.86   12.45   8.840   7.701   11.73   11.65   10.78   8.917   14.83   13.11   10.62   13.93   4.052   16.08   16.53   17.01   14.10   12.74   13.22   13.34   11.72   11.32   16.79   13.30   11.23   9.117   9.553   12.19   9.247   10.75   9.285   11.90   11.08   9.827   6.212   7.302   10.03   9.353   7.245   8.390   12.92   12.58   16.21   16.41   15.75   18.24   17.52   11.90   11.49   14.64   11.78   
   22.0    1.572   1.906   2.442   4.989   5.926   7.593   5.008   4.125   4.676   4.660   8.491   10.41   9.712   9.283   10.15   7.988   2.405   5.701   7.203   7.256   11.15   10.19   10.88   8.430   8.040   8.827   8.059   8.322   7.958   7.499   8.046   10.36   11.97   10.49   3.600   5.266   13.18   13.19   13.38   10.46   15.55   14.71   13.21   9.376   8.168   12.45   12.35   11.43   9.458   15.73   13.90   11.27   14.77   4.297   17.05   17.54   18.04   14.96   13.51   14.02   14.15   12.43   12.00   17.81   14.11   11.92   9.671   10.13   12.93   9.808   11.40   9.849   12.62   11.75   10.42   6.589   7.745   10.64   9.921   7.685   8.899   13.70   13.34   17.19   17.40   16.71   19.35   18.58   12.62   12.19   15.53   12.50   
   25.0    1.657   2.009   2.574   5.259   6.247   8.003   5.279   4.348   4.929   4.912   8.951   10.97   10.24   9.785   10.70   8.420   2.535   6.010   7.593   7.648   11.75   10.74   11.46   8.886   8.475   9.304   8.495   8.772   8.389   7.905   8.481   10.93   12.62   11.05   3.795   5.551   13.89   13.90   14.10   11.03   16.40   15.50   13.92   9.883   8.610   13.12   13.02   12.05   9.970   16.58   14.65   11.88   15.57   4.530   17.97   18.48   19.01   15.77   14.24   14.78   14.92   13.11   12.65   18.77   14.87   12.56   10.19   10.68   13.63   10.34   12.02   10.38   13.31   12.38   10.99   6.946   8.164   11.22   10.46   8.100   9.380   14.44   14.06   18.12   18.35   17.61   20.39   19.58   13.30   12.85   16.37   13.17   
   27.0    1.737   2.107   2.700   5.516   6.552   8.394   5.537   4.561   5.170   5.151   9.388   11.51   10.74   10.26   11.22   8.831   2.659   6.303   7.963   8.022   12.33   11.27   12.02   9.319   8.888   9.758   8.910   9.200   8.798   8.291   8.895   11.46   13.24   11.59   3.980   5.822   14.57   14.58   14.79   11.56   17.20   16.26   14.60   10.37   9.030   13.76   13.66   12.64   10.46   17.39   15.37   12.45   16.33   4.751   18.85   19.39   19.94   16.54   14.94   15.50   15.65   13.75   13.27   19.69   15.60   13.17   10.69   11.20   14.30   10.84   12.61   10.89   13.96   12.99   11.52   7.285   8.563   11.76   10.97   8.496   9.838   15.15   14.75   19.00   19.24   18.47   21.39   20.54   13.95   13.48   17.17   13.82   
   30.0    1.815   2.201   2.820   5.761   6.843   8.767   5.783   4.763   5.400   5.380   9.805   12.02   11.21   10.72   11.72   9.224   2.777   6.583   8.317   8.378   12.88   11.77   12.56   9.734   9.283   10.19   9.306   9.609   9.189   8.659   9.291   11.97   13.83   12.11   4.157   6.081   15.22   15.23   15.45   12.08   17.96   16.98   15.25   10.83   9.432   14.37   14.26   13.20   10.92   18.16   16.05   13.01   17.06   4.962   19.69   20.25   20.83   17.27   15.60   16.19   16.34   14.36   13.86   20.57   16.29   13.76   11.17   11.70   14.93   11.32   13.17   11.37   14.58   13.57   12.04   7.609   8.943   12.29   11.46   8.873   10.28   15.82   15.40   19.85   20.10   19.29   22.34   21.45   14.57   14.08   17.93   14.43   
   32.0    1.889   2.291   2.935   5.996   7.123   9.125   6.019   4.958   5.620   5.600   10.21   12.51   11.67   11.16   12.20   9.600   2.890   6.852   8.657   8.720   13.40   12.25   13.07   10.13   9.663   10.61   9.686   10.00   9.564   9.013   9.670   12.46   14.39   12.60   4.327   6.329   15.84   15.85   16.08   12.57   18.69   17.67   15.87   11.27   9.817   14.96   14.85   13.74   11.37   18.90   16.71   13.54   17.75   5.165   20.49   21.08   21.68   17.98   16.24   16.85   17.01   14.94   14.43   21.41   16.95   14.32   11.62   12.18   15.54   11.79   13.71   11.84   15.17   14.12   12.53   7.919   9.308   12.79   11.92   9.236   10.69   16.47   16.03   20.66   20.92   20.08   23.25   22.33   15.17   14.65   18.66   15.02   
   35.0    1.960   2.377   3.046   6.222   7.392   9.470   6.246   5.145   5.832   5.812   10.59   12.98   12.11   11.58   12.66   9.963   3.000   7.111   8.984   9.050   13.91   12.71   13.56   10.51   10.03   11.01   10.05   10.38   9.925   9.353   10.04   12.93   14.93   13.08   4.490   6.568   16.44   16.45   16.69   13.04   19.40   18.34   16.47   11.69   10.19   15.52   15.41   14.26   11.80   19.62   17.34   14.05   18.42   5.360   21.27   21.87   22.50   18.65   16.85   17.48   17.65   15.51   14.97   22.21   17.59   14.86   12.06   12.64   16.13   12.23   14.22   12.28   15.74   14.65   13.00   8.218   9.660   13.27   12.37   9.584   11.10   17.09   16.64   21.44   21.71   20.84   24.13   23.17   15.74   15.20   19.37   15.59   
   37.0    2.029   2.461   3.153   6.441   7.651   9.802   6.465   5.326   6.037   6.016   10.96   13.44   12.54   11.98   13.11   10.31   3.105   7.360   9.299   9.367   14.40   13.16   14.04   10.88   10.38   11.40   10.40   10.74   10.27   9.681   10.39   13.38   15.46   13.54   4.648   6.799   17.01   17.02   17.27   13.50   20.08   18.98   17.05   12.10   10.55   16.07   15.95   14.76   12.21   20.30   17.95   14.54   19.07   5.548   22.01   22.64   23.29   19.31   17.44   18.10   18.27   16.05   15.50   22.99   18.21   15.38   12.48   13.08   16.70   12.66   14.72   12.71   16.30   15.17   13.46   8.507   9.999   13.74   12.81   9.921   11.49   17.69   17.22   22.19   22.47   21.57   24.98   23.98   16.29   15.74   20.05   16.13   
   40.0    2.095   2.541   3.256   6.652   7.902   10.12   6.677   5.500   6.235   6.213   11.32   13.88   12.95   12.38   13.54   10.65   3.207   7.602   9.604   9.674   14.87   13.59   14.50   11.24   10.72   11.77   10.75   11.10   10.61   9.999   10.73   13.82   15.96   13.98   4.800   7.022   17.57   17.58   17.84   13.95   20.74   19.61   17.61   12.50   10.89   16.59   16.47   15.24   12.61   20.97   18.53   15.02   19.70   5.730   22.74   23.38   24.05   19.94   18.02   18.69   18.87   16.58   16.01   23.75   18.81   15.89   12.89   13.51   17.24   13.08   15.21   13.13   16.83   15.66   13.90   8.786   10.33   14.19   13.23   10.25   11.86   18.27   17.79   22.92   23.21   22.28   25.79   24.77   16.82   16.25   20.70   16.66   
   45.0    2.222   2.696   3.454   7.056   8.381   10.74   7.082   5.834   6.613   6.590   12.01   14.72   13.73   13.13   14.36   11.30   3.401   8.063   10.19   10.26   15.77   14.42   15.38   11.92   11.37   12.48   11.40   11.77   11.25   10.61   11.38   14.66   16.93   14.83   5.092   7.448   18.64   18.65   18.92   14.79   22.00   20.80   18.67   13.26   11.55   17.60   17.47   16.17   13.38   22.24   19.66   15.93   20.89   6.077   24.12   24.80   25.51   21.15   19.11   19.82   20.02   17.58   16.98   25.19   19.95   16.85   13.68   14.33   18.29   13.87   16.13   13.93   17.85   16.61   14.74   9.319   10.95   15.05   14.03   10.87   12.58   19.37   18.87   24.31   24.61   23.63   27.36   26.27   17.85   17.24   21.96   17.67   
   50.0    2.343   2.841   3.641   7.437   8.835   11.32   7.466   6.149   6.971   6.946   12.66   15.51   14.48   13.84   15.14   11.91   3.585   8.499   10.74   10.82   16.62   15.20   16.21   12.57   11.98   13.16   12.01   12.41   11.86   11.18   11.99   15.45   17.85   15.63   5.367   7.851   19.65   19.66   19.95   15.59   23.19   21.92   19.68   13.98   12.18   18.55   18.42   17.04   14.10   23.44   20.72   16.79   22.02   6.406   25.42   26.14   26.89   22.30   20.14   20.90   21.10   18.54   17.90   26.55   21.03   17.76   14.42   15.11   19.28   14.62   17.00   14.68   18.82   17.51   15.54   9.823   11.55   15.86   14.79   11.46   13.27   20.42   19.89   25.63   25.94   24.91   28.84   27.69   18.81   18.17   23.15   18.63   
   55.0    2.457   2.980   3.818   7.800   9.266   11.87   7.830   6.450   7.311   7.285   13.28   16.27   15.18   14.51   15.87   12.49   3.760   8.914   11.26   11.34   17.44   15.94   17.00   13.18   12.57   13.80   12.60   13.01   12.44   11.72   12.58   16.20   18.72   16.39   5.629   8.234   20.60   20.62   20.92   16.35   24.32   22.99   20.65   14.66   12.77   19.46   19.31   17.87   14.79   24.59   21.73   17.61   23.09   6.719   26.66   27.42   28.20   23.38   21.12   21.92   22.13   19.44   18.77   27.85   22.06   18.63   15.12   15.84   20.22   15.33   17.83   15.40   19.74   18.37   16.30   10.30   12.11   16.64   15.51   12.01   13.91   21.42   20.86   26.88   27.21   26.12   30.25   29.05   19.73   19.06   24.28   19.54   
   60.0    2.566   3.113   3.988   8.147   9.678   12.40   8.178   6.736   7.636   7.609   13.87   16.99   15.86   15.16   16.58   13.04   3.927   9.310   11.76   11.85   18.21   16.65   17.76   13.77   13.13   14.41   13.16   13.59   13.00   12.25   13.14   16.93   19.55   17.12   5.879   8.600   21.52   21.53   21.85   17.08   25.40   24.01   21.56   15.31   13.34   20.32   20.17   18.67   15.45   25.68   22.70   18.40   24.12   7.017   27.85   28.64   29.46   24.42   22.06   22.89   23.11   20.30   19.60   29.08   23.04   19.46   15.79   16.55   21.12   16.02   18.62   16.08   20.61   19.18   17.02   10.76   12.65   17.38   16.20   12.55   14.53   22.37   21.79   28.07   28.42   27.28   31.59   30.34   20.61   19.91   25.36   20.41   
   65.0    2.671   3.240   4.151   8.480   10.07   12.90   8.512   7.011   7.948   7.920   14.43   17.69   16.51   15.78   17.26   13.58   4.088   9.690   12.24   12.33   18.95   17.33   18.49   14.33   13.66   15.00   13.70   14.14   13.53   12.75   13.68   17.62   20.35   17.82   6.119   8.951   22.40   22.41   22.74   17.78   26.44   24.99   22.44   15.94   13.88   21.15   21.00   19.43   16.08   26.73   23.63   19.15   25.11   7.304   28.98   29.81   30.66   25.42   22.97   23.83   24.06   21.13   20.40   30.27   23.98   20.25   16.44   17.22   21.98   16.67   19.38   16.74   21.46   19.97   17.72   11.20   13.16   18.09   16.86   13.06   15.12   23.29   22.68   29.22   29.58   28.40   32.88   31.58   21.45   20.72   26.39   21.24   
   70.0    2.772   3.362   4.308   8.800   10.45   13.39   8.833   7.276   8.248   8.219   14.98   18.36   17.13   16.37   17.91   14.09   4.242   10.06   12.70   12.80   19.67   17.98   19.18   14.87   14.18   15.57   14.21   14.68   14.04   13.23   14.19   18.28   21.12   18.50   6.350   9.289   23.24   23.26   23.60   18.45   27.43   25.94   23.29   16.54   14.41   21.95   21.79   20.16   16.68   27.74   24.52   19.87   26.05   7.580   30.08   30.93   31.82   26.38   23.83   24.72   24.96   21.93   21.17   31.41   24.88   21.02   17.06   17.87   22.81   17.30   20.12   17.37   22.26   20.72   18.38   11.62   13.66   18.77   17.50   13.55   15.70   24.16   23.53   30.32   30.70   29.47   34.12   32.77   22.26   21.50   27.39   22.04   
   80.0    2.963   3.594   4.605   9.407   11.18   14.32   9.443   7.779   8.817   8.786   16.01   19.62   18.31   17.50   19.15   15.06   4.535   10.75   13.58   13.68   21.03   19.22   20.51   15.90   15.16   16.64   15.20   15.69   15.01   14.14   15.17   19.54   22.58   19.77   6.789   9.930   24.85   24.86   25.23   19.72   29.33   27.73   24.90   17.68   15.40   23.47   23.29   21.55   17.83   29.66   26.21   21.24   27.85   8.103   32.15   33.07   34.01   28.20   25.48   26.43   26.69   23.45   22.64   33.58   26.60   22.47   18.23   19.11   24.38   18.49   21.50   18.57   23.80   22.15   19.65   12.42   14.60   20.06   18.71   14.49   16.78   25.83   25.16   32.41   32.82   31.50   36.48   35.03   23.79   22.99   29.28   23.56   
   90.0    3.143   3.812   4.885   9.978   11.85   15.19   10.02   8.250   9.352   9.319   16.98   20.81   19.42   18.57   20.31   15.98   4.810   11.40   14.41   14.51   22.30   20.39   21.75   16.86   16.08   17.65   16.12   16.64   15.92   15.00   16.09   20.73   23.95   20.97   7.201   10.53   26.36   26.37   26.76   20.92   31.11   29.41   26.41   18.75   16.34   24.89   24.71   22.86   18.92   31.45   27.80   22.53   29.54   8.595   34.11   35.07   36.08   29.91   27.02   28.04   28.31   24.87   24.01   35.62   28.21   23.83   19.34   20.27   25.86   19.62   22.81   19.70   25.25   23.50   20.85   13.18   15.49   21.28   19.84   15.37   17.80   27.40   26.68   34.38   34.81   33.41   38.69   37.16   25.24   24.38   31.05   24.99   
   100.    3.313   4.018   5.149   10.52   12.49   16.01   10.56   8.697   9.858   9.823   17.90   21.94   20.47   19.57   21.40   16.84   5.070   12.02   15.19   15.30   23.51   21.49   22.93   17.77   16.95   18.61   16.99   17.54   16.78   15.81   16.96   21.85   25.24   22.11   7.590   11.10   27.78   27.80   28.21   22.05   32.79   31.00   27.84   19.77   17.22   26.24   26.04   24.10   19.94   33.16   29.31   23.75   31.14   9.059   35.95   36.97   38.03   31.53   28.48   29.55   29.84   26.21   25.31   37.55   29.74   25.12   20.39   21.36   27.26   20.68   24.04   20.76   26.61   24.77   21.97   13.89   16.33   22.43   20.91   16.20   18.76   28.88   28.12   36.24   36.69   35.22   40.78   39.17   26.60   25.70   32.73   26.34   
   110.    3.475   4.215   5.400   11.03   13.10   16.79   11.07   9.121   10.34   10.30   18.78   23.01   21.47   20.52   22.45   17.66   5.318   12.61   15.93   16.04   24.66   22.54   24.05   18.64   17.78   19.52   17.82   18.40   17.60   16.58   17.79   22.92   26.47   23.19   7.961   11.64   29.14   29.16   29.59   23.13   34.39   32.51   29.20   20.73   18.06   27.52   27.31   25.28   20.91   34.77   30.74   24.91   32.66   9.502   37.70   38.77   39.88   33.07   29.88   30.99   31.29   27.49   26.54   39.38   31.19   26.35   21.38   22.40   28.59   21.69   25.22   21.78   27.91   25.98   23.05   14.57   17.13   23.53   21.94   16.99   19.68   30.29   29.50   38.01   38.48   36.94   42.78   41.08   27.90   26.95   34.33   27.63   
   120.    3.629   4.402   5.640   11.52   13.69   17.53   11.57   9.527   10.80   10.76   19.61   24.03   22.43   21.44   23.45   18.45   5.554   13.17   16.63   16.76   25.75   23.54   25.12   19.47   18.57   20.38   18.61   19.22   18.38   17.32   18.58   23.94   27.65   24.22   8.315   12.16   30.43   30.45   30.90   24.15   35.92   33.96   30.50   21.65   18.86   28.74   28.53   26.40   21.84   36.32   32.10   26.02   34.11   9.924   39.38   40.50   41.66   34.54   31.20   32.37   32.69   28.71   27.72   41.13   32.58   27.52   22.33   23.40   29.87   22.65   26.34   22.74   29.15   27.13   24.07   15.22   17.89   24.57   22.91   17.75   20.55   31.64   30.81   39.70   40.19   38.58   44.68   42.90   29.14   28.15   35.86   28.86   
   130.    3.777   4.582   5.870   11.99   14.25   18.25   12.04   9.916   11.24   11.20   20.41   25.02   23.34   22.31   24.41   19.20   5.781   13.70   17.31   17.44   26.81   24.50   26.14   20.26   19.33   21.22   19.37   20.00   19.13   18.03   19.34   24.91   28.78   25.21   8.654   12.66   31.68   31.70   32.16   25.14   37.39   35.35   31.74   22.54   19.63   29.92   29.69   27.48   22.74   37.80   33.41   27.08   35.51   10.33   40.99   42.15   43.36   35.95   32.48   33.69   34.02   29.89   28.85   42.81   33.91   28.64   23.25   24.36   31.08   23.57   27.41   23.67   30.34   28.24   25.05   15.84   18.62   25.58   23.85   18.47   21.39   32.93   32.07   41.32   41.83   40.16   46.50   44.66   30.33   29.30   37.32   30.04   
   140.    3.920   4.755   6.092   12.44   14.78   18.94   12.49   10.29   11.66   11.62   21.18   25.96   24.23   23.15   25.33   19.93   5.999   14.22   17.97   18.10   27.82   25.43   27.13   21.03   20.05   22.02   20.10   20.76   19.85   18.71   20.07   25.85   29.87   26.16   8.981   13.14   32.87   32.89   33.38   26.09   38.80   36.68   32.94   23.39   20.38   31.05   30.81   28.51   23.59   39.23   34.68   28.10   36.85   10.72   42.54   43.74   44.99   37.31   33.70   34.97   35.30   31.02   29.94   44.43   35.19   29.72   24.12   25.28   32.26   24.46   28.45   24.57   31.49   29.30   26.00   16.44   19.32   26.54   24.75   19.17   22.20   34.17   33.28   42.88   43.41   41.68   48.26   46.34   31.48   30.41   38.73   31.17   
