 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> Februar 11, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in Silicon.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,40 keV   2,390E+00  4,819E+01      41 A        18 A        13 A   
   1,50 keV   2,473E+00  4,960E+01      42 A        19 A        14 A   
   1,60 keV   2,555E+00  5,095E+01      44 A        19 A        14 A   
   1,70 keV   2,633E+00  5,223E+01      45 A        20 A        14 A   
   1,80 keV   2,709E+00  5,346E+01      46 A        20 A        15 A   
   2,00 keV   2,856E+00  5,576E+01      49 A        21 A        16 A   
   2,25 keV   3,029E+00  5,839E+01      52 A        22 A        16 A   
   2,50 keV   3,193E+00  6,079E+01      55 A        23 A        17 A   
   2,75 keV   3,349E+00  6,299E+01      58 A        25 A        18 A   
   3,00 keV   3,498E+00  6,503E+01      61 A        26 A        19 A   
   3,25 keV   3,641E+00  6,693E+01      64 A        27 A        20 A   
   3,50 keV   3,778E+00  6,870E+01      66 A        27 A        20 A   
   3,75 keV   3,911E+00  7,037E+01      69 A        28 A        21 A   
   4,00 keV   4,039E+00  7,193E+01      71 A        29 A        22 A   
   4,50 keV   4,284E+00  7,480E+01      76 A        31 A        23 A   
   5,00 keV   4,516E+00  7,739E+01      81 A        33 A        24 A   
   5,50 keV   4,736E+00  7,974E+01      86 A        34 A        26 A   
   6,00 keV   4,947E+00  8,188E+01      90 A        36 A        27 A   
   6,50 keV   5,149E+00  8,386E+01      95 A        37 A        28 A   
   7,00 keV   5,343E+00  8,568E+01      99 A        39 A        29 A   
   8,00 keV   5,712E+00  8,894E+01     107 A        41 A        31 A   
   9,00 keV   6,059E+00  9,178E+01     116 A        44 A        33 A   
  10,00 keV   6,386E+00  9,429E+01     124 A        47 A        35 A   
  11,00 keV   6,698E+00  9,653E+01     131 A        49 A        37 A   
  12,00 keV   6,996E+00  9,853E+01     139 A        51 A        39 A   
  13,00 keV   7,281E+00  1,003E+02     146 A        54 A        41 A   
  14,00 keV   7,556E+00  1,020E+02     154 A        56 A        43 A   
  15,00 keV   7,822E+00  1,035E+02     161 A        58 A        45 A   
  16,00 keV   8,078E+00  1,049E+02     168 A        60 A        46 A   
  17,00 keV   8,327E+00  1,061E+02     175 A        63 A        48 A   
  18,00 keV   8,568E+00  1,073E+02     182 A        65 A        50 A   
  20,00 keV   9,032E+00  1,093E+02     196 A        69 A        53 A   
  22,50 keV   9,579E+00  1,115E+02     213 A        74 A        57 A   
  25,00 keV   1,010E+01  1,133E+02     230 A        79 A        61 A   
  27,50 keV   1,059E+01  1,149E+02     246 A        84 A        65 A   
  30,00 keV   1,106E+01  1,162E+02     262 A        89 A        68 A   
  32,50 keV   1,151E+01  1,173E+02     278 A        93 A        72 A   
  35,00 keV   1,195E+01  1,182E+02     294 A        98 A        76 A   
  37,50 keV   1,237E+01  1,191E+02     310 A       102 A        79 A   
  40,00 keV   1,277E+01  1,197E+02     326 A       107 A        83 A   
  45,00 keV   1,355E+01  1,208E+02     357 A       116 A        90 A   
  50,00 keV   1,428E+01  1,216E+02     388 A       124 A        96 A   
  55,00 keV   1,498E+01  1,221E+02     419 A       133 A       103 A   
  60,00 keV   1,564E+01  1,224E+02     449 A       141 A       109 A   
  65,00 keV   1,628E+01  1,226E+02     480 A       149 A       116 A   
  70,00 keV   1,690E+01  1,226E+02     510 A       158 A       122 A   
  80,00 keV   1,806E+01  1,224E+02     571 A       174 A       134 A   
  90,00 keV   1,916E+01  1,219E+02     631 A       190 A       146 A   
 100,00 keV   2,020E+01  1,212E+02     692 A       206 A       158 A   
 110,00 keV   2,118E+01  1,204E+02     753 A       221 A       170 A   
