# name, mass1, mass2, dens, name1, name2, tDebye, esurf
# density of N = 3.481, but 22.59 gives the correct density of Si3N4
# density of O = 4.302, but 8.759 gives correct density of SiO2
PM, 0., 147., 0., PROMETHIUM, PROMETHIUM, 0., 0.
SM, 152., 150.35, 3.026, SAMARIUM, SAMARIUM, 166., 2.16
EU, 153., 151.96, 2.084, EUROPIUM, EUROPIUM, 0., 1.85
GD, 157.9, 157.25, 3.026, GADOLINIUM, GADOLINIUM, 200., 3.57
TB, 159.9, 158.92, 3.136, TERBIUM, TERBIUM, 0., 3.81
DY, 164., 162.5, 3.17, DYSPROSIUM, DYSPROSIUM, 210., 2.89
HO, 165., 164.93, 3.22, HOLMIUM, HOLMIUM, 0., 3.05
ER, 166., 167.26, 3.273, ERBIUM, ERBIUM, 0., 3.05
TM, 169., 168.93, 3.327, THULIUM, THULIUM, 0., 2.52
YB, 174., 173.04, 2.428, YTTERBIUM, YTTERBIUM, 120., 1.74
LU, 175., 174.97, 3.383, LUTETIUM, LUTETIUM, 210., 4.29
HF, 180., 178.49, 4.428, HAFNIUM, HAFNIUM, 252., 6.31
TA, 181., 180.95, 5.525, TANTALUM, TANTALUM, 240., 8.10
W, 184., 183.85, 6.32, TUNGSTEN, WOLFRAM, 400., 8.68
RE, 187., 186.2, 6.805, RHENIUM, RHENIUM, 430., 8.09
OS, 192., 190.2, 7.144, OSMIUM, OSMIUM, 500., 8.13
IR, 193., 192.2, 7.052, IRIDIUM, IRIDIUM, 420., 6.90
PT, 195., 195.09, 6.618, PLATINUM, PLATINUM, 240., 5.86
AU, 197., 196.97, 5.904, GOLD, GOLD, 165., 3.80
HG, 202., 200.59, 4.069, MERCURY, MERCURY, 71.9, 0.64
TL, 205., 204.37, 3.501, THALLIUM, THALLIUM, 78.5, 1.88
PB, 208., 207.19, 3.291, LEAD, LEAD, 105., 2.03
BI, 209., 208.98, 2.827, BISMUTH, BISMUTH, 119., 2.17
PO, 210., 210., 2.653, POLONIUM, POLONIUM, 0., 1.50
AT, 210., 210., 0., ASTATINE, ASTATINE, 0., 0.
RN, 222., 222., 0., RADON, RADON, 0., 0.
FR, 223., 223., 0., FRANCIUM, FRANCIUM, 0., 0.
RA, 226., 226., 1.338, RADIUM, RADIUM, 0., 0.
AC, 227., 227., 0., ACTINIUM, ACTINIUM, 0., 0.
TH, 232., 232., 3.026, THORIUM, THORIUM, 163., 5.93
PA, 231., 231., 4.015, PROTACTINIUM, PROTACTINIUM, 0., 0.
U, 238.04, 238.04, 4.818, URANIUM, URANIUM, 207., 5.42
